Unnamed: 0,MIN,GNB
First Downs,18,24
Rush-Yds-TDs,26-123-0,29-105-1
Cmp-Att-Yd-TD-INT,19-29-284-4-0,22-33-216-1-4
Sacked-Yards,4-23,2-15
Net Pass Yards,261,201
Total Yards,384,306
Fumbles-Lost,2-0,3-0
Turnovers,0,4
Penalties-Yards,7-56,8-55
Third Down Conv.,5-13,3-10
Fourth Down Conv.,1-2,0-0
Time of Possession,29:48,30:12
