Quarter,Time,Tm,Detail,OAK,PIT
1.0,7:43,Raiders,Sebastian Janikowski 41 yard field goal,3,0
,4:00,Steelers,Hines Ward 34 yard pass from Kordell Stewart (Todd Peterson kick),3,7
,1:06,Raiders,Charlie Garner 36 yard rush (Sebastian Janikowski kick),10,7
2.0,1:44,Raiders,Jerry Porter 21 yard pass from Rich Gannon (Sebastian Janikowski kick),17,7
,0:00,Steelers,Todd Peterson 46 yard field goal,17,10
3.0,9:26,Raiders,Sebastian Janikowski 45 yard field goal,20,10
,0:00,Steelers,Hines Ward 5 yard pass from Kordell Stewart (Todd Peterson kick),20,17
4.0,14:46,Raiders,Terry Kirby 96 yard kickoff return (Sebastian Janikowski kick),27,17
,1:01,Raiders,Sebastian Janikowski 27 yard field goal,30,17
