Quarter,Time,Down,ToGo,Location,OAK,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss, Raiders to receive the opening kickoff.",,
1,15:00,,,PIT 30,0,0,"Todd Peterson kicks off 66 yards, returned by Terry Kirby for 23 yards (tackle by Deshea Townsend)",0.000,0.740
1,15:00,1,10,OAK 27,0,0,Rich Gannon pass complete to Jerry Rice for 8 yards (tackle by James Farrior),0.740,1.280
1,14:03,2,2,OAK 35,0,0,Rich Gannon pass complete to Jerry Rice for 9 yards (tackle by Jason Gildon and Larry Foote),1.280,1.860
1,13:43,1,10,OAK 44,0,0,Rich Gannon pass complete to Roland Williams for 5 yards (tackle by Chad Scott),1.860,1.990
1,13:10,1,10,OAK 44,,,Timeout #1 by Oakland Raiders,1.860,1.990
1,13:10,2,5,OAK 49,0,0,Rich Gannon pass complete to Jerry Rice for 4 yards (tackle by Joey Porter),1.990,1.820
1,12:25,3,1,PIT 47,0,0,Rich Gannon pass complete to Jerry Porter for 14 yards (tackle by Brent Alexander),1.820,3.380
1,11:56,1,10,PIT 33,0,0,Rich Gannon pass complete to Jerry Rice for 6 yards (tackle by Dewayne Washington),3.380,3.650
1,11:26,2,4,PIT 27,0,0,Rich Gannon pass incomplete intended for Tim Brown,3.650,2.940
1,11:23,3,4,PIT 27,0,0,Rich Gannon pass complete to Tim Brown for 8 yards (tackle by Dewayne Washington),2.940,4.310
1,10:53,1,10,PIT 19,0,0,Rich Gannon pass complete to Charlie Garner for 5 yards (tackle by Joey Porter),4.310,4.530
1,10:15,2,5,PIT 14,0,0,Rich Gannon pass complete to Jerry Rice for 8 yards (tackle by Dewayne Washington),4.530,5.830
1,9:27,1,6,PIT 6,0,0,Charlie Garner left end for 2 yards (tackle by Mike Logan and Aaron Smith),5.830,5.340
1,8:52,2,4,PIT 4,0,0,Rich Gannon pass complete to Charlie Garner for no gain,5.340,4.490
1,8:11,3,4,PIT 4,0,0,"Penalty on Barry Sims: False Start, 5 yards (no play)",4.490,3.360
1,7:54,3,9,PIT 9,0,0,"Rich Gannon pass incomplete intended for Charlie Garner. Penalty on Rich Gannon: Intentional Grounding, 14 yards",3.360,1.930
1,7:45,4,23,PIT 23,3,0,Sebastian Janikowski 41 yard field goal good,1.930,3.000
1,7:45,,,OAK 30,3,0,"Sebastian Janikowski kicks off 63 yards, returned by Antwaan Randle El for 23 yards (tackle by Travian Smith)",0.000,0.940
1,7:43,1,10,PIT 30,3,0,Jerome Bettis middle for 3 yards (tackle by John Parrella),0.940,0.800
1,7:00,2,7,PIT 33,3,0,Kordell Stewart pass complete to Jerome Bettis for 5 yards (tackle by Eric Barton),0.800,0.760
1,6:33,3,2,PIT 38,3,0,Kordell Stewart pass complete to Hines Ward for 4 yards (tackle by Charles Woodson),0.760,1.730
,,,,,,,"OAK challenged the ruling, and the play was upheld.",,
1,6:07,1,10,PIT 42,3,0,Jerome Bettis right tackle for 2 yards (tackle by Eric Barton),1.730,1.460
1,5:29,2,8,PIT 44,3,0,Kordell Stewart pass complete to Hines Ward for 5 yards (tackle by Tory James),1.460,1.420
1,4:47,3,3,PIT 49,3,0,Kordell Stewart pass complete to Antwaan Randle El for 17 yards (tackle by Phillip Buchanon),1.420,3.310
1,4:05,1,10,OAK 34,3,6,"Kordell Stewart pass complete to Hines Ward for 34 yards, touchdown",3.310,7.000
1,4:05,,,OAK 34,3,7,Todd Peterson kicks extra point good,0.000,0.000
1,4:05,,,PIT 30,3,7,"Todd Peterson kicks off 66 yards, returned by Derek Combs for 25 yards (tackle by Chris Hope)",0.000,0.870
1,4:00,1,10,OAK 29,3,7,Rich Gannon pass incomplete intended for Jerry Rice (defended by Dewayne Washington),0.870,0.330
1,3:45,2,10,OAK 29,3,7,Rich Gannon pass complete to Jerry Rice for 8 yards (tackle by James Farrior),0.330,0.700
1,3:14,3,2,OAK 37,3,7,Rich Gannon pass complete to Jerry Rice for 6 yards (tackle by Mike Logan and Lee Flowers),0.700,1.800
1,2:38,1,10,OAK 43,3,7,Rich Gannon pass complete to Roland Williams for 8 yards (tackle by Chad Scott and Joey Porter),1.800,2.330
1,2:05,2,2,PIT 49,3,7,Rich Gannon pass complete to Jerry Porter for 2 yards (tackle by Lee Flowers),2.330,2.460
1,1:30,1,10,PIT 47,3,7,Rich Gannon pass complete to Roland Williams for 11 yards (tackle by Brent Alexander),2.460,3.180
1,1:13,1,10,PIT 36,9,7,"Charlie Garner left guard for 36 yards, touchdown",3.180,7.000
1,1:13,,,PIT 36,10,7,Sebastian Janikowski kicks extra point good,0.000,0.000
