Unnamed: 0,OAK,PIT
First Downs,27,14
Rush-Yds-TDs,17-95-1,18-72-0
Cmp-Att-Yd-TD-INT,43-65-403-1-2,18-34-201-2-1
Sacked-Yards,5-34,0-0
Net Pass Yards,369,201
Total Yards,464,273
Fumbles-Lost,1-0,4-4
Turnovers,2,5
Penalties-Yards,7-69,6-57
Third Down Conv.,12-20,4-10
Fourth Down Conv.,0-0,0-0
Time of Possession,39:34,20:26
