Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Ty Chandler,MIN,12,35,0,1,28,2.3,7,0.6,1,12.0
Alexander Mattison,MIN,10,66,0,3,46,4.6,20,2.0,1,10.0
Joshua Dobbs,MIN,5,21,0,2,17,3.4,4,0.8,0,
Kene Nwangwu,MIN,2,3,0,,0,0.0,3,1.5,0,
C.J. Ham,MIN,1,7,0,,5,5.0,2,2.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Josh Jacobs,LVR,13,34,0,1,23,1.8,11,0.8,0,
Zamir White,LVR,2,8,0,,5,2.5,3,1.5,0,
Ameer Abdullah,LVR,1,12,0,1,8,8.0,4,4.0,0,
Aidan O'Connell,LVR,1,2,0,1,2,2.0,0,0.0,0,
