Unnamed: 0,MIN,LVR
First Downs,16,8
Rush-Yds-TDs,30-132-0,17-56-0
Cmp-Att-Yd-TD-INT,19-36-146-0-0,21-32-171-0-1
Sacked-Yards,5-47,4-25
Net Pass Yards,99,146
Total Yards,231,202
Fumbles-Lost,0-0,3-2
Turnovers,0,3
Penalties-Yards,5-36,4-37
Third Down Conv.,8-20,3-14
Fourth Down Conv.,1-1,2-2
Time of Possession,32:11,27:49
