Quarter,Time,Down,ToGo,Location,MIN,LVR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,,,MIN 35,0,0,"Greg Joseph kicks off 61 yards, returned by DeAndre Carter for 16 yards (tackle by C.J. Ham)",0.000,0.280
1,14:54,1,10,LVR 20,0,0,Aidan O'Connell pass complete short left to Davante Adams for 4 yards (tackle by Ivan Pace),0.280,0.270
1,14:18,2,6,LVR 24,0,0,Josh Jacobs up the middle for 2 yards (tackle by Ivan Pace),0.270,-0.160
1,13:36,3,4,LVR 26,0,0,Aidan O'Connell pass complete short middle to Josh Jacobs for 9 yards (tackle by Mekhi Blackmon),-0.160,1.270
1,12:48,1,10,LVR 35,0,0,Josh Jacobs left guard for 4 yards (tackle by Jonathan Bullard and Ivan Pace),1.270,1.260
1,12:12,2,6,LVR 39,0,0,Aidan O'Connell pass complete short right to Jakobi Meyers for 4 yards (tackle by Camryn Bynum),1.260,1.090
1,11:29,3,2,LVR 43,0,0,Aidan O'Connell pass complete short left to Jakobi Meyers for 1 yard (tackle by Ivan Pace and Josh Metellus),1.090,-0.460
1,10:42,4,1,LVR 44,0,0,Aidan O'Connell up the middle for 2 yards (tackle by Harrison Phillips),-0.460,1.990
1,9:59,1,10,LVR 46,0,0,Aidan O'Connell pass complete short right to Jakobi Meyers for 12 yards (tackle by Byron Murphy),1.990,2.790
1,9:13,1,10,MIN 42,0,0,Aidan O'Connell pass incomplete deep left intended for Davante Adams,2.790,2.240
1,9:09,2,10,MIN 42,0,0,"Josh Jacobs right tackle for 2 yards (tackle by Byron Murphy and Camryn Bynum). Penalty on Austin Hooper: Offensive Holding, 10 yards (accepted)",2.240,1.160
1,8:45,2,18,LVR 50,0,0,Aidan O'Connell sacked by Troy Dye for -5 yards,1.160,-0.160
1,8:08,3,23,LVR 45,0,0,Aidan O'Connell pass complete short middle to Davante Adams for 2 yards (tackle by Ivan Pace),-0.160,-0.260
1,7:24,4,21,LVR 47,0,0,"AJ Cole punts 53 yards, touchback.",-0.260,-0.280
1,7:15,1,10,MIN 20,0,0,Alexander Mattison right guard for 5 yards (tackle by Tre'von Moehrig),0.280,0.410
1,6:42,2,5,MIN 25,0,0,Joshua Dobbs pass incomplete short right intended for Justin Jefferson (defended by Jack Jones),0.410,-0.300
1,6:36,3,5,MIN 25,0,0,Joshua Dobbs sacked by Tyree Wilson for -8 yards,-0.300,-2.320
1,5:58,4,13,MIN 17,0,0,"Ryan Wright punts 59 yards, returned by DeAndre Carter for 10 yards (tackle by Theo Jackson)",-2.320,-1.200
1,5:49,1,10,LVR 34,0,0,Aidan O'Connell pass incomplete short right intended for Davante Adams,1.200,0.660
1,5:46,2,10,LVR 34,0,0,Josh Jacobs right guard for 5 yards (tackle by Sheldon Day),0.660,0.630
1,5:06,3,5,LVR 39,0,0,Aidan O'Connell pass complete short left to Jakobi Meyers for 4 yards (tackle by Akayleb Evans and Ivan Pace),0.630,-0.520
1,4:27,4,1,LVR 43,0,0,Josh Jacobs up the middle for 3 yards (tackle by Camryn Bynum),-0.520,1.990
1,3:50,1,10,LVR 46,0,0,"Aidan O'Connell pass incomplete short right. Penalty on Aidan O'Connell: Intentional Grounding, 12 yards (accepted)",1.990,-0.170
1,3:41,2,22,LVR 34,0,0,Aidan O'Connell pass complete short right to Austin Hooper for 5 yards (tackle by Ivan Pace),-0.170,-0.160
1,2:54,3,17,LVR 39,0,0,Aidan O'Connell pass complete short right to Davante Adams for 12 yards (tackle by Harrison Smith and Mekhi Blackmon),-0.160,0.000
1,2:15,4,5,MIN 49,0,0,"AJ Cole punts 42 yards, returned by Brandon Powell for 7 yards (tackle by Curtis Bolton)",0.000,0.280
1,2:07,1,10,MIN 14,0,0,Alexander Mattison left guard for 6 yards (tackle by Robert Spillane and Maxx Crosby),-0.280,0.150
1,1:29,2,4,MIN 20,0,0,Alexander Mattison left guard for -2 yards (tackle by Maxx Crosby),0.150,-0.920
1,0:48,3,6,MIN 18,0,0,Joshua Dobbs scrambles left end for 12 yards (tackle by Jakorian Bennett),-0.920,0.940
1,0:08,1,10,MIN 30,0,0,Alexander Mattison up the middle for 13 yards (tackle by Tre'von Moehrig and Marcus Epps),0.940,1.800
Quarter,Time,Down,ToGo,Location,MIN,LVR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,MIN 43,0,0,Joshua Dobbs sacked by Janarius Robinson for -9 yards,1.800,0.040
2,14:18,2,19,MIN 34,0,0,Joshua Dobbs pass incomplete short middle intended for T.J. Hockenson (defended by Marcus Epps),0.040,-0.620
2,14:14,3,19,MIN 34,0,0,"Joshua Dobbs sacked by Maxx Crosby for -9 yards. Penalty on Brian O'Neill: Offensive Holding, 10 yards (declined)",-0.620,-1.700
2,13:57,4,28,MIN 25,0,0,"Ryan Wright punts 52 yards, returned by DeAndre Carter for 4 yards (tackle by Johnny Mundt and Brian Asamoah). Penalty on Janarius Robinson: Defensive Offside, 5 yards (declined)",-1.700,-0.740
2,13:45,1,10,LVR 27,0,0,Josh Jacobs up the middle for 2 yards (tackle by D.J. Wonnum),0.740,0.470
2,13:25,2,8,LVR 29,0,0,Josh Jacobs right guard for 3 yards (tackle by Ivan Pace and D.J. Wonnum),0.470,0.170
2,12:44,3,5,LVR 32,0,0,Aidan O'Connell sacked by D.J. Wonnum for -10 yards,0.170,-1.900
2,12:01,4,15,LVR 22,0,0,"AJ Cole punts 57 yards, returned by Brandon Powell for no gain (tackle by DJ Turner)",-1.900,-0.340
2,11:52,1,10,MIN 21,0,0,Joshua Dobbs pass complete short left to Justin Jefferson for 12 yards (tackle by Amik Robertson),0.340,1.140
2,11:16,1,10,MIN 33,0,0,Ty Chandler left tackle for 2 yards (tackle by Bilal Nichols),1.140,0.860
2,10:37,2,8,MIN 35,0,0,Ty Chandler right guard for 4 yards (tackle by John Jenkins and Robert Spillane),0.860,0.700
2,9:55,3,4,MIN 39,0,0,Joshua Dobbs pass complete short middle to Justin Jefferson for 15 yards (tackle by Marcus Epps),0.700,2.520
2,9:10,1,10,LVR 46,0,0,Ty Chandler up the middle for 5 yards (tackle by John Jenkins and Robert Spillane),2.520,2.650
2,8:30,2,5,LVR 41,0,0,Joshua Dobbs pass complete short right to Ty Chandler for 1 yard (tackle by Jack Jones and Divine Deablo),2.650,2.080
2,7:48,3,4,LVR 40,0,0,Joshua Dobbs scrambles right end for 2 yards (tackle by Divine Deablo),2.080,0.720
2,7:05,4,2,LVR 38,0,0,Joshua Dobbs pass complete short left to K.J. Osborn for 5 yards (tackle by Jack Jones),0.720,3.380
2,6:24,1,10,LVR 33,0,0,Alexander Mattison left tackle for 2 yards (tackle by Malcolm Koonce),3.380,3.110
2,5:50,2,8,LVR 31,0,0,Joshua Dobbs pass incomplete deep left intended for T.J. Hockenson (defended by Tre'von Moehrig),3.110,2.410
2,5:44,3,8,LVR 31,0,0,Joshua Dobbs pass incomplete short middle intended for Brandon Powell,2.410,1.320
2,5:37,4,8,LVR 31,0,0,Greg Joseph 49 yard field goal no good,1.320,-1.530
2,5:32,1,10,LVR 39,0,0,Josh Jacobs left tackle for 2 yards (tackle by Camryn Bynum),1.530,1.260
2,4:49,,,,,,Timeout #1 by Las Vegas Raiders,,
2,4:49,2,8,LVR 41,0,0,Aidan O'Connell pass complete short right to Davante Adams for 7 yards (tackle by Josh Metellus),1.260,1.490
2,4:09,3,1,LVR 48,0,0,Aidan O'Connell pass incomplete short left intended for Hunter Renfrow,1.490,-0.190
2,4:05,4,1,LVR 48,0,0,"AJ Cole punts 42 yards, fair catch by Brandon Powell at MIN-10",-0.190,0.380
2,3:58,1,10,MIN 10,0,0,Joshua Dobbs pass complete short right to Jordan Addison for 7 yards (tackle by Nate Hobbs),-0.380,-0.090
2,3:27,2,3,MIN 17,0,0,Alexander Mattison right tackle for 7 yards (tackle by Bilal Nichols),-0.090,0.540
2,2:45,1,10,MIN 24,0,0,Joshua Dobbs pass incomplete deep left intended for K.J. Osborn,0.540,0.000
2,2:39,2,10,MIN 24,0,0,Alexander Mattison up the middle for 6 yards (tackle by Tyree Wilson),0.000,0.170
2,2:08,,,,,,Timeout #2 by Las Vegas Raiders,,
2,2:08,3,3,MIN 30,0,0,"Joshua Dobbs pass incomplete deep right intended for K.J. Osborn. Penalty on Jack Jones: Illegal Contact, 5 yards (accepted) (no play)",0.170,1.270
2,2:02,1,10,MIN 35,0,0,Alexander Mattison up the middle for 16 yards (tackle by Tre'von Moehrig),1.270,2.320
2,1:56,1,10,LVR 49,0,0,Alexander Mattison left guard for 7 yards (tackle by Robert Spillane),2.320,2.730
2,1:22,2,3,LVR 42,0,0,Joshua Dobbs pass incomplete short left intended for Jalen Nailor,2.730,2.020
2,1:18,3,3,LVR 42,0,0,Joshua Dobbs sacked by Maxx Crosby for -11 yards,2.020,-0.260
2,1:08,,,,,,Timeout #1 by Minnesota Vikings,,
2,1:08,4,14,MIN 47,0,0,"Ryan Wright punts 43 yards, fair catch by DeAndre Carter at LV-10",-0.260,0.380
2,1:02,1,10,LVR 10,0,0,Aidan O'Connell pass incomplete short left,-0.380,-0.780
2,0:56,2,10,LVR 10,0,0,Ameer Abdullah right guard for 12 yards (tackle by Danielle Hunter and Mekhi Blackmon),-0.780,0.410
2,0:32,1,10,LVR 22,0,0,Aidan O'Connell pass complete short middle to Michael Mayer for 14 yards (tackle by Ivan Pace and Josh Metellus),0.410,1.330
2,0:12,1,10,LVR 36,0,0,Aidan O'Connell pass incomplete short middle intended for Hunter Renfrow,1.330,0.790
2,0:09,2,10,LVR 36,0,0,Aidan O'Connell pass complete short right to Ameer Abdullah for 7 yards (tackle by Josh Metellus and Ivan Pace),0.790,1.030
2,0:01,,,,,,Timeout #3 by Las Vegas Raiders,,
2,0:01,3,3,LVR 43,0,0,Aidan O'Connell sacked by Ivan Pace for -7 yards,1.030,-0.980
Quarter,Time,Down,ToGo,Location,MIN,LVR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,LVR 35,0,0,"Daniel Carlson kicks off 72 yards, returned by Kene Nwangwu for 31 yards (tackle by Tre Tucker). Penalty on Josh Oliver: Offensive Holding, 10 yards (accepted)",0.000,-0.280
3,14:53,1,10,MIN 14,0,0,Alexander Mattison up the middle for 6 yards (tackle by Maxx Crosby and Tre'von Moehrig),-0.280,0.150
3,14:17,2,4,MIN 20,0,0,Joshua Dobbs pass incomplete short right intended for Alexander Mattison,0.150,-0.680
3,14:11,3,4,MIN 20,0,0,Joshua Dobbs pass complete short left to K.J. Osborn for 5 yards (tackle by Jack Jones),-0.680,0.610
3,13:33,1,10,MIN 25,0,0,Joshua Dobbs sacked by Robert Spillane for -10 yards,0.610,-1.430
3,12:59,2,20,MIN 15,0,0,Joshua Dobbs pass incomplete deep left intended for T.J. Hockenson,-1.430,-2.350
3,12:55,3,20,MIN 15,0,0,"Joshua Dobbs scrambles left end for 2 yards (tackle by Maxx Crosby). Penalty on Christian Darrisaw: Offensive Holding, 10 yards (declined)",-2.350,-2.320
3,12:35,4,18,MIN 17,0,0,"Ryan Wright punts 46 yards, returned by DeAndre Carter for 11 yards (tackle by Andrew DePaola and Ty Chandler). Penalty on Brandon Bolden: Illegal Blindside Block, 15 yards (offset) . Penalty on Andrew DePaola: Unnecessary Roughness / Defense, 15 yards (offset)",-2.320,-2.130
3,12:19,1,10,LVR 48,0,0,Josh Jacobs up the middle for 5 yards (tackle by D.J. Wonnum),2.130,2.260
3,11:39,2,5,MIN 47,0,0,Josh Jacobs right guard for -2 yards (tackle by Jonathan Bullard and Harrison Phillips),2.260,1.290
3,10:58,3,7,MIN 49,0,0,Aidan O'Connell pass complete short middle to Hunter Renfrow for 38 yards (tackle by Byron Murphy),1.290,4.840
3,10:11,1,10,MIN 11,0,0,Aidan O'Connell pass complete short left to Davante Adams for 1 yard (tackle by Akayleb Evans),4.840,4.320
3,9:39,2,9,MIN 10,0,0,"Josh Jacobs for no gain. Penalty on Dylan Parham: Offensive Holding, 10 yards (accepted) (no play)",4.320,3.070
3,9:17,2,19,MIN 20,0,0,"Aidan O'Connell pass complete short right to Hunter Renfrow for 2 yards. Hunter Renfrow fumbles (forced by Josh Metellus), recovered by Mekhi Blackmon at MIN-16 (tackle by Josh Metellus)",3.070,0.140
3,9:09,1,10,MIN 16,0,0,Ty Chandler up the middle for no gain (tackle by Maxx Crosby),-0.140,-0.660
3,8:31,2,10,MIN 16,0,0,Joshua Dobbs pass complete short middle to T.J. Hockenson for 8 yards (tackle by Robert Spillane),-0.660,-0.320
3,7:53,3,2,MIN 24,0,0,Ty Chandler left tackle for 4 yards (tackle by Nate Hobbs),-0.320,0.810
3,7:15,1,10,MIN 28,0,0,Ty Chandler left guard for 5 yards (tackle by Maxx Crosby and John Jenkins),0.810,0.940
3,6:37,2,5,MIN 33,0,0,Joshua Dobbs pass complete short right to Ty Chandler for 6 yards (tackle by Nate Hobbs),0.940,1.530
3,6:01,1,10,MIN 39,0,0,Kene Nwangwu left tackle for -1 yards (tackle by Robert Spillane),1.530,0.850
3,5:20,2,11,MIN 38,0,0,Joshua Dobbs pass complete short left to Ty Chandler for no gain (tackle by Tyree Wilson),0.850,0.170
3,4:44,3,11,MIN 38,0,0,Joshua Dobbs pass incomplete short right,0.170,-0.850
3,4:37,4,11,MIN 38,0,0,Ryan Wright punts 46 yards out of bounds,-0.850,0.140
3,4:29,1,10,LVR 16,0,0,Josh Jacobs left tackle for 1 yard (tackle by Jonathan Bullard and D.J. Wonnum),-0.140,-0.510
3,3:46,2,9,LVR 17,0,0,Aidan O'Connell pass complete short right to Josh Jacobs for 7 yards (tackle by Troy Dye and Ivan Pace),-0.510,-0.320
3,3:02,3,2,LVR 24,0,0,Aidan O'Connell pass complete short right to Jakobi Meyers for 4 yards (tackle by Byron Murphy),-0.320,0.810
3,2:25,1,10,LVR 28,0,0,Zamir White left tackle for 2 yards (tackle by Danielle Hunter),0.810,0.530
3,1:44,2,8,LVR 30,0,0,Aidan O'Connell pass complete short right to Davante Adams for 3 yards (tackle by Byron Murphy),0.530,0.230
3,1:11,3,5,LVR 33,0,0,"Aidan O'Connell pass complete to Tre Tucker for 22 yards MIN challenged the pass completion ruling, and the original play was overturned. Aidan O'Connell pass incomplete deep right intended for Tre Tucker",0.230,-1.180
3,1:02,4,5,LVR 33,0,0,"AJ Cole punts 45 yards, returned by Brandon Powell for 10 yards (tackle by Brandon Bolden)",-1.180,-1.070
3,0:51,1,10,MIN 32,0,0,Joshua Dobbs pass complete short right to Johnny Mundt for 4 yards (tackle by Nate Hobbs),1.070,1.070
3,0:14,2,6,MIN 36,0,0,Ty Chandler left guard for 4 yards (tackle by Robert Spillane),1.070,0.890
Quarter,Time,Down,ToGo,Location,MIN,LVR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,2,MIN 40,0,0,Joshua Dobbs scrambles right end for 3 yards (tackle by Marcus Epps and Tyree Wilson),0.890,1.800
4,14:11,1,10,MIN 43,0,0,"Penalty on Blake Brandel: False Start, 5 yards (accepted) (no play)",1.800,1.470
4,14:10,1,15,MIN 38,0,0,Joshua Dobbs pass incomplete short left intended for K.J. Osborn,1.470,0.580
