Quarter,Time,Down,ToGo,Location,IND,OAK,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Colts to receive the opening kickoff.",,
1,15:00,,,OAK 35,0,0,"Sebastian Janikowski kicks off 66 yards, returned by Jordan Todman for 27 yards (tackle by Keith McGill)",0.000,-0.670
1,14:54,1,10,IND 26,0,0,Frank Gore left tackle for no gain (tackle by Malcolm Smith),0.670,0.130
1,14:16,2,10,IND 26,0,0,Frank Gore left guard for 5 yards (tackle by Perry Riley),0.130,0.100
1,13:36,3,5,IND 31,0,0,Andrew Luck pass incomplete deep left intended for Donte Moncrief,0.100,-1.310
1,13:30,4,5,IND 31,0,0,"Pat McAfee punts 53 yards, returned by Jalen Richard for 8 yards (tackle by Josh McNary)",-1.310,-0.540
1,13:17,1,10,OAK 24,0,0,Derek Carr pass incomplete deep right intended for Michael Crabtree (defended by Vontae Davis),0.540,0.000
1,13:10,2,10,OAK 24,0,0,Derek Carr pass incomplete deep left intended for Andre Holmes,0.000,-0.690
1,13:04,3,10,OAK 24,0,0,Derek Carr pass complete short left to Latavius Murray for 11 yards (tackle by Vontae Davis),-0.690,1.270
1,12:23,1,10,OAK 35,0,0,Jalen Richard middle for 9 yards (tackle by Antonio Morrison),1.270,1.940
1,11:46,2,1,OAK 44,0,0,Latavius Murray middle for -2 yards (tackle by Antonio Morrison),1.940,0.960
1,11:06,3,3,OAK 42,0,0,Derek Carr pass incomplete short right intended for Michael Crabtree,0.960,-0.590
1,11:03,4,3,OAK 42,0,0,"Marquette King punts 58 yards, touchback",-0.590,-0.280
1,10:55,1,10,IND 20,0,0,Andrew Luck pass complete deep left to Erik Swoope for 45 yards (tackle by Nate Allen),0.280,3.250
1,10:14,1,10,OAK 35,0,0,Frank Gore middle for 6 yards (tackle by T.J. Carrie),3.250,3.510
1,9:43,2,4,OAK 29,0,0,Robert Turbin left end for -2 yards (tackle by Nate Allen),3.510,2.540
1,9:13,3,6,OAK 31,0,0,Andrew Luck middle for 1 yard (tackle by Khalil Mack),2.540,1.450
1,8:34,4,5,OAK 30,0,0,Pat McAfee left tackle for no gain (tackle by Daren Bates),1.450,-0.940
1,8:27,1,10,OAK 30,0,0,Derek Carr pass incomplete short left intended for Seth Roberts (defended by Darryl Morris),0.940,0.390
1,8:21,2,10,OAK 30,0,0,Derek Carr pass incomplete short right intended for Michael Crabtree,0.390,-0.300
1,8:16,3,10,OAK 30,0,0,Derek Carr pass incomplete short middle intended for Seth Roberts,-0.300,-1.370
1,8:12,4,10,OAK 30,0,0,"Marquette King punts 40 yards, out of bounds",-1.370,-0.940
1,8:03,1,10,IND 30,0,0,Frank Gore left end for 13 yards (tackle by Reggie Nelson),0.940,1.800
1,7:18,1,10,IND 43,0,0,Andrew Luck pass incomplete short left intended for T.Y. Hilton is intercepted by Nate Allen at OAK-42 and returned for 4 yards,1.800,-1.990
1,7:09,1,10,OAK 46,0,0,Latavius Murray middle for 7 yards (tackle by David Parry and Antonio Morrison),1.990,0.000
1,6:23,,,,0,0,Timeout #1 by Oakland Raiders,0.000,-2.400
1,6:23,2,3,IND 47,0,0,"Latavius Murray middle for 2 yards. Penalty on Kelechi Osemele: Offensive Holding, 10 yards (no play)",2.400,1.050
1,5:55,2,13,OAK 43,0,0,Derek Carr pass complete short left to Jalen Richard for 8 yards (tackle by David Parry),1.050,1.420
1,5:14,3,5,IND 49,0,0,Derek Carr pass complete short middle to Clive Walford for 15 yards (tackle by T.J. Green),1.420,0.000
1,4:39,,,,0,0,Timeout #1 by Indianapolis Colts,0.000,-3.310
1,4:39,1,10,IND 34,0,0,DeAndre Washington right guard for 3 yards (tackle by Trent Cole),3.310,3.180
1,3:58,2,7,IND 31,0,0,Latavius Murray right tackle for 8 yards (tackle by Antonio Morrison),3.180,4.040
1,3:54,1,10,IND 23,0,0,--,4.040,3.710
1,2:52,1,15,IND 28,0,0,Derek Carr pass complete short middle to Amari Cooper for 5 yards (tackle by Edwin Jackson and Rashaan Melvin),3.710,3.500
1,2:09,2,10,IND 23,0,0,Derek Carr pass complete short middle to Michael Crabtree for 6 yards (tackle by Vontae Davis),3.500,3.660
1,1:26,3,4,IND 17,0,0,Derek Carr pass complete short left to Michael Crabtree for 15 yards (tackle by Vontae Davis),3.660,6.740
1,0:58,1,2,IND 2,0,0,Latavius Murray middle for -1 yards (tackle by Mike Adams),6.740,5.530
1,0:15,2,3,IND 3,0,0,Derek Carr pass incomplete short right intended for Seth Roberts (defended by Darryl Morris),5.530,4.720
1,0:11,3,3,IND 3,0,0,"Derek Carr pass incomplete short left intended for Michael Crabtree. Penalty on Vontae Davis: Defensive Pass Interference, 2 yards (no play)",4.720,6.970
1,0:07,1,1,IND 1,0,0,Derek Carr pass incomplete short right intended for Andre Holmes. Penalty on Rashaan Melvin: Defensive Pass Interference (no play),6.970,6.970
1,0:03,1,1,IND 1,0,0,Latavius Murray middle for no gain (tackle by Antonio Morrison),6.970,5.910
Quarter,Time,Down,ToGo,Location,IND,OAK,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,1,IND 1,0,6,"Derek Carr pass complete short right to Andre Holmes for 1 yard, touchdown",5.910,7.000
2,14:57,,,IND 15,0,7,Sebastian Janikowski kicks extra point good,0.000,0.000
2,14:57,,,OAK 35,0,7,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.610
2,14:57,1,10,IND 25,0,7,Frank Gore middle for 7 yards (tackle by James Cowser),0.610,1.010
2,14:24,2,3,IND 32,0,7,"Frank Gore right guard for 3 yards (tackle by Justin Ellis). Penalty on Bruce Irvin: Unnecessary Roughness (Offsetting), Penalty on Dwayne Allen: Unnecessary Roughness (Offsetting)",1.010,1.270
2,13:55,1,10,IND 35,0,7,Andrew Luck pass complete short middle to Jack Doyle for 17 yards (tackle by Nate Allen),1.270,2.390
2,13:07,1,10,OAK 48,0,7,Frank Gore middle for 3 yards (tackle by Nate Allen),2.390,2.250
2,12:30,2,7,OAK 45,0,7,Robert Turbin middle for 6 yards (tackle by Perry Riley),2.250,2.340
2,11:55,3,1,OAK 39,0,7,Robert Turbin middle for 3 yards (tackle by Bruce Irvin),2.340,3.180
2,11:16,1,10,OAK 36,0,7,Frank Gore middle for 8 yards (tackle by Nate Allen),3.180,3.720
2,10:37,2,2,OAK 28,0,7,Andrew Luck pass complete short right to Jack Doyle for 4 yards (tackle by Khalil Mack),3.720,3.970
