Unnamed: 0,IND,OAK
First Downs,20,27
Rush-Yds-TDs,24-102-1,37-210-2
Cmp-Att-Yd-TD-INT,19-29-288-2-2,23-34-261-3-0
Sacked-Yards,0-0,1-8
Net Pass Yards,288,253
Total Yards,390,463
Fumbles-Lost,1-1,1-0
Turnovers,3,0
Penalties-Yards,4-22,10-93
Third Down Conv.,4-8,9-15
Fourth Down Conv.,0-1,0-0
Time of Possession,23:55,36:05
