Quarter,Time,Down,ToGo,Location,SFO,CHI,Detail,EPB,EPA
1,9:10,1,10,SFO 20,0,0,Carlos Hyde left tackle for 4 yards (tackle by Nick Kwiatkoski),0.280,0.270
1,8:39,2,6,SFO 24,0,0,Colin Kaepernick left end for 2 yards (tackle by Deon Bush),0.270,-0.160
1,8:00,3,4,SFO 26,0,0,Colin Kaepernick sacked by Eddie Goldman for -5 yards,-0.160,-1.960
1,7:32,4,9,SFO 21,0,0,Bradley Pinion punts 37 yards,-1.960,-1.730
1,7:22,1,10,CHI 42,0,0,"Penalty on Eric Kush: False Start, 5 yards (no play)",1.730,1.400
1,7:22,1,15,CHI 37,0,0,Jordan Howard left end for -2 yards (tackle by Eli Harold),1.400,0.240
1,6:42,2,17,CHI 35,0,0,Jordan Howard left guard for 3 yards (tackle by Glenn Dorsey and DeForest Buckner),0.240,-0.030
1,6:05,3,14,CHI 38,0,0,Matt Barkley pass incomplete deep left intended for Marquess Wilson,-0.030,-0.850
1,6:00,4,14,CHI 38,0,0,"Pat O'Donnell punts 40 yards, fair catch by Jeremy Kerley. Penalty on Shaun Draughn: Offensive Holding, 10 yards",-0.850,0.350
1,5:52,1,10,SFO 12,0,0,Carlos Hyde left guard for 3 yards (tackle by John Timu),-0.350,-0.500
1,5:22,2,7,SFO 15,0,0,Carlos Hyde left tackle for 12 yards (tackle by Leonard Floyd),-0.500,0.740
1,4:51,1,10,SFO 27,0,0,Carlos Hyde right guard for 4 yards (tackle by Nick Kwiatkoski),0.740,0.740
1,4:24,2,6,SFO 31,0,0,Shaun Draughn right guard for 1 yard (tackle by Leonard Floyd),0.740,0.170
1,3:41,3,5,SFO 32,0,0,Colin Kaepernick right tackle for 14 yards (tackle by Tracy Porter),0.170,1.990
1,3:21,1,10,SFO 46,0,0,Carlos Hyde left guard for 8 yards (tackle by Akiem Hicks),1.990,2.530
1,2:54,2,2,CHI 46,0,0,Carlos Hyde left end for 1 yard (tackle by John Timu),2.530,1.950
1,2:15,3,1,CHI 45,0,0,Shaun Draughn right guard for 2 yards (tackle by Akiem Hicks),1.950,2.720
1,1:40,1,10,CHI 43,0,0,Colin Kaepernick left end for 6 yards (tackle by Harold Jones-Quartey),2.720,2.990
1,1:08,2,4,CHI 37,0,0,Shaun Draughn right guard for 5 yards (tackle by Akiem Hicks and Harold Jones-Quartey),2.990,3.450
1,0:30,1,10,CHI 32,0,0,Carlos Hyde right tackle for -1 yards (tackle by Akiem Hicks),3.450,2.770
Quarter,Time,Down,ToGo,Location,SFO,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,11,CHI 33,0,0,"Colin Kaepernick pass complete short middle to Shaun Draughn for 15 yards (tackle by Bryce Callahan). Penalty on Joshua Garnett: Offensive Holding, 10 yards (no play)",2.770,1.420
2,14:30,2,21,CHI 43,0,0,Carlos Hyde left guard for 5 yards (tackle by Nick Kwiatkoski),1.420,0.000
2,13:53,,,,0,0,Timeout #1 by Chicago Bears,0.000,-1.420
2,13:53,3,16,CHI 38,0,0,Carlos Hyde right guard for 7 yards (tackle by Cornelius Washington),1.420,1.320
2,13:18,4,9,CHI 31,0,0,"Bradley Pinion punts 26 yards, fair catch by Bryce Callahan",1.320,0.380
2,13:11,1,10,CHI 5,0,0,Jordan Howard right end for 4 yards (tackle by Gerald Hodges),-0.380,-0.490
2,12:32,2,6,CHI 9,0,0,Jordan Howard right guard for 4 yards (tackle by Glenn Dorsey),-0.490,-0.480
2,11:47,3,2,CHI 13,0,0,Jordan Howard left tackle for 3 yards (tackle by Chris Jones),-0.480,-0.140
2,11:11,1,10,CHI 16,0,0,"Matt Barkley pass complete short right to Cameron Meredith for 15 yards (tackle by Antoine Bethea). Penalty on Charles Leno: Ineligible Downfield Pass, 5 yards (no play)",-0.140,-0.540
2,10:42,1,15,CHI 11,0,0,Ka'Deem Carey left end for 4 yards (tackle by DeForest Buckner),-0.540,-0.780
2,10:07,2,11,CHI 15,0,0,Ka'Deem Carey left guard for 4 yards (tackle by Nick Bellore and Glenn Dorsey),-0.780,-0.950
2,9:23,3,7,CHI 19,0,0,Matt Barkley pass incomplete short right intended for Josh Bellamy,-0.950,-2.140
2,9:18,4,7,CHI 19,0,0,"Penalty on Pat O'Donnell: Delay of Game, 5 yards (no play)",-2.140,-2.470
2,9:18,4,12,CHI 14,0,0,"Pat O'Donnell punts 15 yards, returned by Dontae Johnson for 25 yards (tackle by Ben Braunecker). Penalty on Rashard Robinson: Unsportsmanlike Conduct, 15 yards",-2.470,-4.310
2,9:07,1,10,CHI 19,0,0,Carlos Hyde left tackle for -1 yards (tackle by Nick Kwiatkoski),4.310,3.630
2,8:23,2,11,CHI 20,0,0,Carlos Hyde left guard for 3 yards (tackle by Akiem Hicks),3.630,3.260
2,7:41,3,8,CHI 17,0,0,Colin Kaepernick pass complete short right to Vance McDonald for 4 yards (tackle by Harold Jones-Quartey),3.260,2.640
2,6:59,4,4,CHI 13,3,0,Phil Dawson 31 yard field goal good,2.640,3.000
2,6:55,,,SFO 35,3,0,"Phil Dawson kicks off 56 yards, returned by Deonte Thompson for 28 yards (tackle by Jimmie Ward). Deonte Thompson fumbles, recovered by Jimmie Ward at CHI-37",0.000,3.120
2,6:47,1,10,CHI 37,3,0,Carlos Hyde left guard for 6 yards (tackle by Nick Kwiatkoski),3.120,3.380
2,6:11,2,4,CHI 31,3,0,Colin Kaepernick left end for 2 yards (tackle by Harold Jones-Quartey),3.380,2.940
2,6:01,3,2,CHI 29,3,0,Carlos Hyde left tackle for 6 yards (tackle by Cre'von LeBlanc),2.940,4.040
2,5:25,1,10,CHI 23,3,0,Shaun Draughn right tackle for 3 yards (tackle by Nick Kwiatkoski),4.040,3.900
2,4:52,2,7,CHI 20,3,0,DuJuan Harris left end for 9 yards (tackle by Harold Jones-Quartey),3.900,4.840
2,4:11,1,10,CHI 11,3,0,DuJuan Harris left guard for -1 yards (tackle by Nick Kwiatkoski),4.840,3.980
2,3:26,2,11,CHI 12,3,0,Colin Kaepernick right end for -3 yards (tackle by Harold Jones-Quartey),3.980,2.970
2,2:45,3,14,CHI 15,3,0,Carlos Hyde left guard for 5 yards (tackle by Harold Jones-Quartey and John Timu),2.970,2.760
2,2:00,4,9,CHI 10,6,0,Phil Dawson 28 yard field goal good,2.760,3.000
2,1:56,,,SFO 35,6,0,"Phil Dawson kicks off 51 yards, returned by Paul Lasike for 5 yards (tackle by Aaron Burbridge)",0.000,-0.150
2,1:52,1,10,CHI 19,6,0,Jordan Howard right tackle for 1 yard (tackle by Nick Bellore),0.150,0.000
2,1:48,,,,6,0,Timeout #1 by San Francisco 49ers,0.000,0.200
2,1:48,2,9,CHI 20,6,0,Jordan Howard right guard for 4 yards (tackle by Michael Wilhoite),-0.200,0.000
2,1:43,,,,6,0,Timeout #2 by San Francisco 49ers,0.000,0.420
2,1:43,3,5,CHI 24,6,0,Matt Barkley pass complete short left to Deonte Thompson for 8 yards (tackle by Tramaine Brock),-0.420,1.070
2,1:21,1,10,CHI 32,6,0,Matt Barkley pass complete short left to Deonte Thompson for 11 yards (tackle by Tramaine Brock),1.070,1.800
2,1:16,1,10,CHI 43,6,0,Matt Barkley pass complete deep middle to Cameron Meredith for 28 yards (tackle by Antoine Bethea),1.800,3.640
2,0:51,1,10,SFO 29,6,0,Matt Barkley pass incomplete short right intended for Deonte Thompson,3.640,3.100
2,0:47,2,10,SFO 29,6,0,Matt Barkley pass complete short right to Cameron Meredith for 17 yards (tackle by Jimmie Ward),3.100,0.000
2,0:47,,,,6,0,Timeout #2 by Chicago Bears,0.000,-4.780
2,0:39,1,10,SFO 12,6,0,"Matt Barkley pass incomplete short middle intended for Daniel Brown. Penalty on Tramaine Brock: Defensive Pass Interference, 11 yards (no play)",4.780,6.970
2,0:35,1,1,SFO 1,6,6,"Jordan Howard left tackle for 1 yard, touchdown",6.970,7.000
2,0:31,,,SFO 15,6,7,Connor Barth kicks extra point good,0.000,0.000
2,0:31,,,CHI 35,6,7,"Connor Barth kicks off 65 yards, touchback",0.000,-0.610
2,0:31,1,10,SFO 25,6,7,Colin Kaepernick kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,SFO,CHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 35,6,7,"Phil Dawson kicks off 65 yards, touchback",0.000,-0.610
3,15:00,1,10,CHI 25,6,7,Jordan Howard left tackle for 6 yards (tackle by Nick Bellore),0.610,0.870
3,14:24,2,4,CHI 31,6,7,"Matt Barkley pass incomplete deep left intended for Josh Bellamy. Penalty on Tramaine Brock: Defensive Holding, 5 yards (no play)",0.870,1.330
3,14:16,1,10,CHI 36,6,7,Jordan Howard left guard for 4 yards (tackle by DeForest Buckner),1.330,1.330
3,13:39,2,6,CHI 40,6,7,Jordan Howard right tackle for no gain (tackle by DeForest Buckner),1.330,0.630
3,13:00,3,6,CHI 40,6,7,Matt Barkley pass complete deep left to Cameron Meredith for 22 yards (tackle by Jaquiski Tartt),0.630,3.050
3,12:20,1,10,SFO 38,6,7,Matt Barkley pass incomplete short left intended for Jordan Howard,3.050,2.510
3,12:15,2,10,SFO 38,6,7,Jordan Howard left guard for 3 yards (tackle by Nick Bellore),2.510,2.210
3,11:32,3,7,SFO 35,6,7,Matt Barkley pass complete deep left to Josh Bellamy for 24 yards (tackle by Rashard Robinson),2.210,4.840
3,10:50,1,10,SFO 11,6,7,Jeremy Langford left tackle for 2 yards (tackle by Gerald Hodges),4.840,4.510
3,10:14,2,8,SFO 9,6,7,Matt Barkley pass complete short middle to Daniel Brown for 7 yards (tackle by Antoine Bethea),4.510,5.120
3,9:36,3,1,SFO 2,6,13,"Jordan Howard left tackle for 2 yards, touchdown",5.120,7.000
3,9:32,,,SFO 15,6,14,Connor Barth kicks extra point good,0.000,0.000
3,9:32,,,CHI 35,6,14,"Connor Barth kicks off 62 yards, returned by JaCorey Shepherd for 17 yards (tackle by Ben Braunecker)",0.000,-0.280
3,9:26,1,10,SFO 20,6,14,Carlos Hyde right guard for 4 yards (tackle by Akiem Hicks and Mitch Unrein),0.280,0.270
3,8:51,2,6,SFO 24,6,14,Colin Kaepernick pass incomplete short left intended for Jeremy Kerley,0.270,-0.430
3,8:46,3,6,SFO 24,6,14,Colin Kaepernick pass incomplete deep left intended for Shaun Draughn (defended by John Timu),-0.430,-1.770
3,8:39,4,6,SFO 24,6,14,"Bradley Pinion punts 40 yards, fair catch by Bryce Callahan. Penalty on Aaron Burbridge: Illegal Shift, 5 yards",-1.770,-1.660
3,8:32,1,10,CHI 41,6,14,Matt Barkley pass complete deep left to Josh Bellamy for 22 yards (tackle by Tramaine Brock),1.660,3.120
3,7:52,1,10,SFO 37,6,14,Jordan Howard right guard for 1 yard (tackle by Gerald Hodges),3.120,2.710
3,7:18,2,9,SFO 36,6,14,Matt Barkley pass complete deep right to Josh Bellamy for 31 yards (tackle by Jimmie Ward),2.710,6.060
3,6:25,1,5,SFO 5,6,20,"Jordan Howard left guard for 5 yards, touchdown",6.060,7.000
3,6:19,,,SFO 15,6,21,Connor Barth kicks extra point good,0.000,0.000
3,6:19,,,CHI 35,6,21,"Connor Barth kicks off 65 yards, touchback",0.000,-0.610
3,6:19,1,10,SFO 25,6,21,"Penalty on Zane Beadles: False Start, 5 yards (no play)",0.610,0.280
3,6:19,1,15,SFO 20,6,21,Carlos Hyde right guard for 8 yards (tackle by Cornelius Washington),0.280,0.470
3,5:50,2,7,SFO 28,6,21,Colin Kaepernick sacked by Leonard Floyd for 0 yards,0.470,-0.230
3,5:08,3,7,SFO 28,6,21,Colin Kaepernick sacked by Akiem Hicks for -7 yards,-0.230,-1.960
3,4:29,4,14,SFO 21,6,21,"Bradley Pinion punts 44 yards, fair catch by Bryce Callahan",-1.960,-1.270
3,4:22,1,10,CHI 35,6,21,Jordan Howard left tackle for 4 yards (tackle by Nick Bellore),1.270,1.260
3,3:48,2,6,CHI 39,6,21,Jordan Howard left guard for no gain (tackle by Nick Bellore),1.260,0.560
3,3:09,3,6,CHI 39,6,21,Matt Barkley pass incomplete deep middle intended for Josh Bellamy,0.560,-0.780
3,3:03,4,6,CHI 39,6,21,"Pat O'Donnell punts 46 yards, fair catch by Jeremy Kerley",-0.780,0.220
3,2:55,1,10,SFO 15,6,21,"Colin Kaepernick sacked by Akiem Hicks for -1 yards. Colin Kaepernick fumbles (forced by Akiem Hicks), recovered by Joshua Garnett at SFO-15",-0.220,-0.710
3,2:10,2,10,SFO 15,6,21,Carlos Hyde left end for 6 yards (tackle by Harold Jones-Quartey),-0.710,-0.630
3,1:27,3,4,SFO 21,6,21,Colin Kaepernick pass incomplete deep right intended for Vance McDonald,-0.630,-1.960
3,1:22,4,4,SFO 21,6,21,"Bradley Pinion punts 43 yards, fair catch by Bryce Callahan",-1.960,-1.330
3,1:14,1,10,CHI 36,6,21,"Matt Barkley pass complete deep right to Deonte Thompson for 31 yards (tackle by Antoine Bethea). Penalty on Deonte Thompson: Offensive Pass Interference, 10 yards (no play)",1.330,0.670
3,0:54,1,20,CHI 26,6,21,Matt Barkley pass complete short middle to Josh Bellamy for 16 yards (tackle by Nick Bellore). Penalty on Glenn Dorsey: Defensive Offside (Declined),0.670,1.600
3,0:35,2,4,CHI 42,6,21,Jordan Howard left tackle for 25 yards (tackle by Gerald Hodges),1.600,3.380
Quarter,Time,Down,ToGo,Location,SFO,CHI,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,SFO 33,6,21,Josh Bellamy left end for 12 yards (tackle by Jaquiski Tartt),3.380,4.170
4,14:12,1,10,SFO 21,6,21,Jordan Howard right guard for 2 yards (tackle by Nick Bellore),4.170,3.900
4,13:51,2,8,SFO 19,6,21,Matt Barkley pass incomplete short right intended for Cameron Meredith,3.900,3.180
4,13:46,3,8,SFO 19,6,21,Matt Barkley sacked by Ahmad Brooks for -8 yards,3.180,1.670
4,13:01,4,16,SFO 27,6,24,Connor Barth 45 yard field goal good,1.670,3.000
4,12:55,,,CHI 35,6,24,"Connor Barth kicks off 65 yards, returned by JaCorey Shepherd for 16 yards (tackle by Sherrick McManis)",0.000,0.140
4,12:51,1,10,SFO 16,6,24,Blaine Gabbert pass complete deep right to Jeremy Kerley for 18 yards (tackle by Nick Kwiatkoski),-0.140,1.200
4,12:17,1,10,SFO 34,6,24,Blaine Gabbert pass incomplete deep left intended for Carlos Hyde,1.200,0.660
4,12:11,2,10,SFO 34,6,24,Blaine Gabbert pass incomplete short left intended for Torrey Smith,0.660,-0.030
4,12:07,3,10,SFO 34,6,24,Blaine Gabbert pass incomplete short right intended for Vance McDonald,-0.030,-1.110
4,12:03,4,10,SFO 34,6,24,"Bradley Pinion punts 38 yards, returned by Bryce Callahan for 3 yards (tackle by Kyle Nelson)",-1.110,-1.000
4,11:54,1,10,CHI 31,6,24,Jordan Howard right end for 8 yards (tackle by Antoine Bethea),1.000,1.540
4,11:16,2,2,CHI 39,6,24,Jordan Howard right tackle for 2 yards (tackle by Quinton Dial),1.540,1.660
4,10:29,1,10,CHI 41,6,24,Jordan Howard right tackle for 4 yards (tackle by Ahmad Brooks),1.660,1.660
4,9:45,2,6,CHI 45,6,24,Jordan Howard right tackle for 4 yards (tackle by Glenn Dorsey),1.660,1.490
4,9:01,3,2,CHI 49,6,24,Jordan Howard left guard for -1 yards (tackle by Nick Bellore and Chris Jones),1.490,-0.190
4,8:14,4,3,CHI 48,6,24,"Pat O'Donnell punts 52 yards, touchback. Penalty on Rashard Robinson: Offensive Holding, 10 yards",-0.190,0.380
4,8:05,1,10,SFO 10,6,24,Blaine Gabbert pass complete short right to Carlos Hyde for 6 yards (tackle by Harold Jones-Quartey),-0.380,-0.230
4,7:30,2,4,SFO 16,6,24,Blaine Gabbert pass incomplete short left intended for Chris Harper (defended by Nick Kwiatkoski),-0.230,-0.720
4,7:22,3,4,SFO 16,6,24,Blaine Gabbert pass complete short right to Chris Harper for 6 yards (tackle by Nick Kwiatkoski),-0.720,0.410
4,6:52,1,10,SFO 22,6,24,"Blaine Gabbert for 8 yards. Penalty on Daniel Kilgore: Offensive Holding, 10 yards (no play)",0.410,-0.660
4,6:24,1,20,SFO 12,6,24,Blaine Gabbert right end for 1 yard (tackle by Tracy Porter),-0.660,-1.430
4,5:48,2,19,SFO 13,6,24,Blaine Gabbert pass incomplete short right intended for Shaun Draughn (defended by Nick Kwiatkoski),-1.430,-2.420
4,5:44,3,19,SFO 13,6,24,Blaine Gabbert pass incomplete deep right intended for Torrey Smith,-2.420,-2.490
4,5:39,4,19,SFO 13,6,24,"Bradley Pinion punts 41 yards, fair catch by Bryce Callahan",-2.490,-1.990
4,5:31,1,10,CHI 46,6,24,Jordan Howard left guard for 1 yard (tackle by Jimmie Ward),1.990,1.590
4,4:47,2,9,CHI 47,6,24,Jordan Howard right tackle for 4 yards (tackle by Glenn Dorsey),1.590,1.420
4,4:00,3,5,SFO 49,6,24,Matt Barkley pass complete short right to Daniel Brown for 6 yards (tackle by Jaquiski Tartt),1.420,2.720
4,3:55,1,10,SFO 43,6,24,Jordan Howard left tackle for -2 yards (tackle by Glenn Dorsey),2.720,1.910
4,3:14,2,12,SFO 45,6,24,Jordan Howard left tackle for 2 yards (tackle by Antoine Bethea),1.910,1.490
4,2:27,3,10,SFO 43,6,24,Jordan Howard right tackle for 4 yards (tackle by DeForest Buckner),1.490,0.000
4,2:21,,,,6,24,Timeout #1 by San Francisco 49ers,0.000,-0.660
4,2:21,4,6,SFO 39,6,24,Pat O'Donnell punts 36 yards,0.660,0.380
4,2:12,1,10,SFO 3,6,24,Blaine Gabbert pass complete short left to Vance McDonald for 5 yards (tackle by Cre'von LeBlanc),-0.380,-0.420
4,2:00,2,5,SFO 8,6,26,"Blaine Gabbert sacked by Leonard Floyd for -8 yards, safety",-0.420,-2.000
4,1:55,,,SFO 20,6,26,Bradley Pinion kicks off 47 yards,0.000,-1.140
4,1:54,1,10,CHI 33,6,26,Jordan Howard left guard for 1 yard (tackle by Nick Bellore),1.140,0.730
4,1:08,2,9,CHI 34,6,26,Matt Barkley kneels for -1 yards,0.730,-0.100
4,0:39,3,10,CHI 33,6,26,Matt Barkley kneels for -1 yards,-0.100,-1.240
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
