Quarter,Time,Tm,Detail,SFO,CHI
2.0,6:55,49ers,Phil Dawson 31 yard field goal,3,0
,1:56,49ers,Phil Dawson 28 yard field goal,6,0
,0:31,Bears,Jordan Howard 1 yard rush (Connor Barth kick),6,7
3.0,9:32,Bears,Jordan Howard 2 yard rush (Connor Barth kick),6,14
,6:19,Bears,Jordan Howard 5 yard rush (Connor Barth kick),6,21
4.0,12:55,Bears,Connor Barth 45 yard field goal,6,24
,1:55,Bears,"Safety, Leonard Floyd blaine Gabbert sack in end zone",6,26
