Unnamed: 0,SFO,CHI
First Downs,10,19
Rush-Yds-TDs,34-141-0,40-142-3
Cmp-Att-Yd-TD-INT,5-15-39-0-0,11-18-192-0-0
Sacked-Yards,6-33,1-8
Net Pass Yards,6,184
Total Yards,147,326
Fumbles-Lost,1-0,2-1
Turnovers,0,1
Penalties-Yards,11-106,5-40
Third Down Conv.,4-14,6-14
Fourth Down Conv.,0-0,0-0
Time of Possession,28:42,31:18
