Unnamed: 0,DAL,DET
First Downs,25,9
Rush-Yds-TDs,43-134-1,21-83-0
Cmp-Att-Yd-TD-INT,19-27-198-3-0,10-33-81-0-3
Sacked-Yards,1-1,1-7
Net Pass Yards,197,74
Total Yards,331,157
Fumbles-Lost,3-1,1-1
Turnovers,1,4
Penalties-Yards,6-65,9-96
Third Down Conv.,5-14,5-15
Fourth Down Conv.,1-2,0-1
Time of Possession,37:21,22:39
