Quarter,Time,Tm,Detail,DAL,DET
1.0,8:23,Lions,Dre' Bly 67 yard defensive fumble return (Jason Hanson kick),0,7
,4:58,Cowboys,Terry Glenn 20 yard pass from Quincy Carter (Billy Cundiff kick),7,7
2.0,11:31,Cowboys,Terry Glenn 19 yard pass from Quincy Carter (Billy Cundiff kick),14,7
,10:21,Cowboys,Terry Glenn 8 yard pass from Quincy Carter (Billy Cundiff kick),21,7
,4:20,Cowboys,Mario Edwards 27 yard interception return (Billy Cundiff kick),28,7
3.0,7:33,Cowboys,Troy Hambrick 3 yard rush (Billy Cundiff kick),35,7
4.0,14:57,Cowboys,Billy Cundiff 23 yard field goal,38,7
