Quarter,Time,Tm,Detail,NOR,MIA
2.0,0:00,Saints,Wil Lutz 43 yard field goal,3,0
3.0,9:01,Saints,Michael Thomas 3 yard pass from Drew Brees (Wil Lutz kick),10,0
4.0,12:32,Saints,Wil Lutz 45 yard field goal,13,0
,3:57,Saints,Alvin Kamara 12 yard pass from Drew Brees (Wil Lutz kick),20,0
