Unnamed: 0,NOR,MIA
First Downs,22,11
Rush-Yds-TDs,28-86-0,15-58-0
Cmp-Att-Yd-TD-INT,29-41-268-2-0,20-28-164-0-1
Sacked-Yards,1-7,4-36
Net Pass Yards,261,128
Total Yards,347,186
Fumbles-Lost,2-0,2-0
Turnovers,0,1
Penalties-Yards,8-71,11-90
Third Down Conv.,6-13,1-8
Fourth Down Conv.,1-2,0-1
Time of Possession,34:28,25:32
