Quarter,Time,Down,ToGo,Location,NOR,MIA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss and deferred, Dolphins to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Wil Lutz kicks off 72 yards, returned by Jakeem Grant for 22 yards (tackle by Marcus Williams)",0.000,0.220
1,14:52,1,10,MIA 15,0,0,Jay Ajayi left guard for no gain (tackle by A.J. Klein),-0.220,-0.710
1,14:17,2,10,MIA 15,0,0,Jay Cutler pass complete short right to DeVante Parker for 15 yards (tackle by Marcus Williams),-0.710,0.940
1,13:36,1,10,MIA 30,0,0,Jay Cutler pass complete short left to Kenny Stills for 2 yards (tackle by Alex Anzalone),0.940,0.660
1,12:57,2,8,MIA 32,0,0,Jay Cutler pass complete short middle to Jarvis Landry for 11 yards (tackle by Vonn Bell),0.660,1.800
1,12:20,1,10,MIA 43,0,0,Jay Ajayi right tackle for 15 yards (tackle by Marcus Williams),1.800,2.790
1,11:32,1,10,NOR 42,0,0,"Kenyan Drake right tackle for 14 yards (tackle by Marcus Williams). Penalty on Jermon Bushrod: Offensive Holding, 10 yards (no play)",2.790,2.130
1,11:04,1,20,MIA 48,0,0,"Jay Ajayi middle for no gain (tackle by Kenny Vaccaro). Penalty on Kenny Stills: Illegal Formation, 5 yards (no play)",2.130,1.800
1,10:43,1,25,MIA 43,0,0,Jay Cutler pass complete short middle to Jarvis Landry for 7 yards (tackle by Kenny Vaccaro),1.800,1.160
1,9:57,2,18,,0,0,"Jay Cutler pass complete short right to DeVante Parker for 15 yards (tackle by Ken Crawley). Penalty on Kenny Vaccaro: Defensive Holding, 5 yards (no play)",1.160,2.590
1,9:24,1,10,NOR 45,0,0,Jay Ajayi right guard for 4 yards (tackle by Alex Okafor),2.590,2.580
1,8:47,2,6,NOR 41,0,0,Jay Cutler pass complete short middle to DeVante Parker for 12 yards (tackle by Ken Crawley),2.580,3.640
1,8:06,1,10,NOR 29,0,0,Jay Cutler pass incomplete short left intended for Julius Thomas,3.640,3.100
1,8:02,2,10,NOR 29,0,0,Jay Ajayi left tackle for 2 yards (tackle by Cameron Jordan),3.100,2.680
1,7:20,3,8,NOR 27,0,0,Jay Cutler pass complete short middle to Julius Thomas for 23 yards (tackle by Marcus Williams),2.680,6.280
1,6:32,1,4,NOR 4,0,0,Jay Cutler pass incomplete short right intended for Julius Thomas is intercepted by Ken Crawley at NOR--7,6.280,-0.280
1,6:28,1,10,NOR 20,0,0,Drew Brees pass complete short right to Michael Thomas for 4 yards (tackle by Cordrea Tankersley),0.280,0.270
1,5:50,2,6,NOR 24,0,0,Drew Brees pass complete short right to Mark Ingram for 7 yards (tackle by Lawrence Timmons),0.270,1.000
1,5:14,1,10,NOR 31,0,0,Drew Brees pass complete short left to Alvin Kamara for 11 yards (tackle by Xavien Howard). Penalty on Xavien Howard: Illegal Use of Hands (Declined),1.000,1.730
1,4:50,1,10,NOR 42,0,0,Mark Ingram left guard for 1 yard (tackle by Xavien Howard),1.730,1.320
1,4:16,2,9,NOR 43,0,0,Drew Brees pass complete short right to Alvin Kamara for 16 yards (tackle by Nate Allen),1.320,2.850
1,3:51,1,10,MIA 41,0,0,Drew Brees pass incomplete short middle intended for Coby Fleener,2.850,0.000
1,3:47,,,,,,Timeout #1 by New Orleans Saints,0.000,-2.310
1,3:47,2,10,MIA 41,0,0,Drew Brees pass complete short left to Ted Ginn for 4 yards (tackle by Charles Harris),2.310,2.150
1,3:05,3,6,MIA 37,0,0,Drew Brees pass complete short right to Michael Thomas for 6 yards (tackle by Cordrea Tankersley),2.150,3.510
1,2:22,1,10,MIA 31,0,0,Alvin Kamara right guard for 5 yards (tackle by Lawrence Timmons),3.510,3.640
1,1:39,2,5,MIA 26,0,0,Drew Brees pass complete short right to Alvin Kamara for 6 yards (tackle by Cordrea Tankersley),3.640,4.240
1,1:06,1,10,MIA 20,0,0,Drew Brees pass complete short right to Alvin Kamara for 3 yards (tackle by Cordrea Tankersley),4.240,4.120
1,0:22,2,7,MIA 17,0,0,Drew Brees pass incomplete deep right intended for Tommylee Lewis (defended by Cordrea Tankersley),4.120,3.360
1,0:17,3,7,MIA 17,0,0,"Drew Brees pass complete short middle to Josh Hill for 10 yards (tackle by Reshad Jones). Penalty on Zach Strief: Offensive Holding, 10 yards (no play)",3.360,2.080
Quarter,Time,Down,ToGo,Location,NOR,MIA,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,17,MIA 27,0,0,Drew Brees pass complete short right to Alvin Kamara for 4 yards (tackle by Lawrence Timmons),2.080,1.930
2,14:19,4,13,MIA 23,0,0,Wil Lutz 41 yard field goal no good,1.930,-1.000
2,14:15,1,10,MIA 31,0,0,Jay Cutler right tackle for 5 yards (tackle by Cameron Jordan),1.000,1.140
2,13:40,2,5,MIA 36,0,0,Jay Cutler pass complete short left to Jarvis Landry for 9 yards (tackle by Kenny Vaccaro),1.140,1.930
2,12:54,1,10,MIA 45,0,0,Kenyan Drake right tackle for 6 yards (tackle by Ken Crawley),1.930,2.190
2,12:09,2,4,NOR 49,0,0,Jay Ajayi right guard for 9 yards (tackle by Marcus Williams),2.190,2.920
2,11:22,1,10,NOR 40,0,0,"Penalty on Julius Thomas: False Start, 5 yards (no play)",2.920,2.590
2,10:54,1,15,NOR 45,0,0,Jay Cutler pass incomplete short right intended for DeVante Parker (defended by Ken Crawley),2.590,1.700
2,10:48,2,15,NOR 45,0,0,Jay Ajayi right tackle for 2 yards (tackle by Alex Okafor),1.700,1.290
2,10:11,3,13,NOR 43,0,0,Jay Cutler sacked by Rafael Bush for -12 yards,1.290,-0.390
2,9:33,4,25,MIA 45,0,0,"Matt Haack punts 44 yards, returned by Ted Ginn for -1 yards. Penalty on P.J. Williams: Offensive Holding, 6 yards",-0.390,0.380
2,9:26,1,10,NOR 5,0,0,Mark Ingram left guard for 4 yards (tackle by Vincent Taylor),-0.380,-0.490
2,8:48,2,6,NOR 9,0,0,Drew Brees pass complete short right to Michael Thomas for 14 yards (tackle by Cordrea Tankersley),-0.490,0.480
2,8:02,1,10,NOR 23,0,0,Ted Ginn left end for 9 yards (tackle by Reshad Jones),0.480,1.150
2,7:30,2,1,NOR 32,0,0,Alvin Kamara left guard for 3 yards (tackle by Nate Allen),1.150,1.270
2,6:45,1,10,NOR 35,0,0,"Drew Brees pass complete short right to Michael Thomas for 12 yards (tackle by Xavien Howard). Penalty on Ryan Ramczyk: Offensive Holding (Offsetting), Penalty on Xavien Howard: Defensive Holding (Offsetting), Penalty on Ndamukong Suh: Defensive Offside (Offsetting) (no play)",1.270,1.270
2,6:25,1,10,NOR 35,0,0,Drew Brees pass complete short left to Mark Ingram for -1 yards (tackle by Kiko Alonso),1.270,0.590
2,5:42,2,11,NOR 34,0,0,Drew Brees pass incomplete short right intended for Mark Ingram,0.590,-0.100
2,5:37,3,11,NOR 34,0,0,"Drew Brees for no gain. Drew Brees fumbles, recovered by Drew Brees at NOR-25. Penalty on Mark Ingram: Illegal Motion (Declined)",-0.100,-1.700
2,5:26,4,20,NOR 25,0,0,"Thomas Morstead punts 42 yards, out of bounds. Penalty on Brandon Coleman: Unsportsmanlike Conduct, 15 yards",-1.700,-2.130
2,5:18,1,10,MIA 48,0,0,Jay Cutler pass complete short middle to DeVante Parker for 7 yards (tackle by Marshon Lattimore),2.130,2.530
2,4:45,2,3,NOR 45,0,0,Jay Ajayi right guard for 2 yards (tackle by Vonn Bell),2.530,2.080
2,4:01,3,1,NOR 43,0,0,"Jay Cutler pass complete short left to Jarvis Landry for 8 yards (tackle by Ken Crawley). Penalty on Kenny Stills: Offensive Pass Interference, 10 yards (no play)",2.080,0.760
2,3:36,3,11,MIA 47,0,0,Jay Cutler sacked by A.J. Klein for -8 yards,0.760,-0.780
2,3:01,4,19,MIA 39,0,0,Matt Haack punts 49 yards,-0.780,0.350
2,2:48,1,10,NOR 12,0,0,Adrian Peterson for -2 yards (tackle by Lawrence Timmons),-0.350,-0.930
2,2:14,2,12,NOR 10,0,0,Adrian Peterson right tackle for no gain (tackle by William Hayes),-0.930,-1.650
2,1:59,3,12,NOR 10,0,0,Drew Brees pass incomplete short right intended for Mark Ingram,-1.650,-2.490
2,1:54,4,12,NOR 10,0,0,"Thomas Morstead punts 58 yards, returned by Jarvis Landry for no gain. Penalty on Maurice Smith: Illegal Block Above the Waist, 10 yards",-2.490,-0.410
2,1:43,1,10,MIA 22,0,0,"Jay Ajayi left end for 4 yards (tackle by Marshon Lattimore). Penalty on Laremy Tunsil: Face Mask (15 Yards), 13 yards",0.410,-0.560
2,1:37,1,19,MIA 13,0,0,"Jay Cutler pass complete short right to Jarvis Landry for 5 yards (tackle by Kenny Vaccaro). Penalty on Anthony Fasano: Offensive Pass Interference, 7 yards (no play)",-0.560,-0.990
2,1:32,1,26,MIA 6,0,0,"Jay Cutler pass complete short left to Kenny Stills for 5 yards (tackle by Marshon Lattimore). Kenny Stills fumbles (forced by Marshon Lattimore), ball out of bounds at MIA-11",-0.990,-1.580
2,1:27,2,21,MIA 11,0,0,Jay Ajayi left end for no gain,-1.580,-1.580
2,1:27,2,21,MIA 11,0,0,Damien Williams left guard for 1 yard (tackle by Craig Robertson),-1.580,0.000
2,1:23,,,,,,Timeout #2 by New Orleans Saints,0.000,2.590
2,1:23,3,20,MIA 12,0,0,Jay Cutler pass complete short left to Jarvis Landry for no gain,-2.590,0.000
2,1:18,,,,,,Timeout #3 by New Orleans Saints,0.000,2.490
2,1:18,4,20,MIA 12,0,0,"Matt Haack punts 38 yards, fair catch by Ted Ginn",-2.490,-2.260
2,1:10,1,10,,0,0,Drew Brees pass incomplete short left intended for Michael Thomas,2.260,1.710
2,1:05,2,10,,0,0,Drew Brees pass incomplete short right intended for Coby Fleener,1.710,1.030
2,1:00,3,10,,0,0,Drew Brees pass complete short middle to Michael Thomas for 14 yards (tackle by Xavien Howard),1.030,3.180
2,0:42,1,10,MIA 36,0,0,Drew Brees pass complete short right to Coby Fleener for 9 yards (tackle by Kiko Alonso),3.180,3.850
2,0:27,2,1,MIA 27,0,0,Drew Brees middle for 2 yards (tackle by Ndamukong Suh),3.850,3.910
2,0:10,1,10,MIA 25,0,0,Drew Brees spiked the ball,3.910,3.360
2,0:09,2,10,MIA 25,0,0,Drew Brees pass incomplete short right intended for Mark Ingram,3.360,2.680
2,0:04,3,10,MIA 25,3,0,Wil Lutz 43 yard field goal good,2.680,3.000
Quarter,Time,Down,ToGo,Location,NOR,MIA,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIA 35,3,0,"Cody Parkey kicks off 65 yards, returned by Alvin Kamara for 23 yards (tackle by Bobby McCain)",0.000,-0.480
3,14:54,1,10,NOR 23,3,0,Mark Ingram right guard for 6 yards (tackle by Ndamukong Suh),0.480,0.740
3,14:18,2,4,NOR 29,3,0,Drew Brees pass complete deep left to Brandon Coleman for 31 yards (tackle by Bobby McCain),0.740,2.920
3,13:38,1,10,MIA 40,3,0,Drew Brees pass complete short left to Michael Thomas for 6 yards (tackle by Xavien Howard),2.920,3.180
3,13:00,2,4,MIA 34,3,0,Alvin Kamara left tackle for 3 yards (tackle by Kiko Alonso),3.180,2.870
3,12:19,3,1,MIA 31,3,0,"Mark Ingram left guard for -3 yards (tackle by Reshad Jones). Penalty on Davon Godchaux: Defensive Holding, 5 yards (no play)",2.870,3.840
3,12:00,1,10,MIA 26,3,0,Drew Brees pass incomplete deep left intended for Michael Thomas,3.840,3.300
3,11:54,2,10,MIA 26,3,0,Mark Ingram left tackle for 8 yards (tackle by Nate Allen),3.300,3.750
3,11:13,3,2,MIA 18,3,0,Drew Brees pass complete short right to Alvin Kamara for 1 yard (tackle by Kiko Alonso),3.750,2.460
3,10:44,4,1,MIA 17,3,0,Drew Brees middle for 1 yard (tackle by Vincent Taylor),2.460,4.510
3,10:19,1,10,MIA 16,3,0,Drew Brees pass complete short left to Tommylee Lewis for 1 yard (tackle by Xavien Howard),4.510,4.050
3,9:43,2,9,MIA 15,3,0,Alvin Kamara left end for 12 yards (tackle by Nate Allen),4.050,6.510
3,9:06,1,3,MIA 3,9,0,"Drew Brees pass complete short right to Michael Thomas for 3 yards, touchdown",6.510,7.000
3,9:01,,,MIA 15,10,0,Wil Lutz kicks extra point good,0.000,0.000
3,9:01,,,NOR 35,10,0,"Wil Lutz kicks off 65 yards, touchback",0.000,-0.610
3,9:01,1,10,MIA 25,10,0,Jay Cutler pass complete short middle to DeVante Parker for 6 yards (tackle by Marshon Lattimore),0.610,0.870
3,8:27,2,4,MIA 31,10,0,Jay Ajayi left guard for 3 yards (tackle by Kenny Vaccaro),0.870,0.560
3,7:47,3,1,MIA 34,10,0,Jay Ajayi right tackle for no gain (tackle by Alex Okafor),0.560,-1.110
3,7:02,4,1,MIA 34,10,0,"Matt Haack punts 45 yards, returned by Ted Ginn for 17 yards (tackle by Damien Williams)",-1.110,-1.470
3,6:50,1,10,NOR 38,10,0,Drew Brees pass incomplete short middle intended for Michael Hoomanawanui,1.470,0.920
3,6:46,2,10,NOR 38,10,0,Adrian Peterson left tackle for 4 yards (tackle by Mike Hull),0.920,0.760
3,6:02,3,6,NOR 42,10,0,Drew Brees pass incomplete short right intended for Michael Thomas,0.760,-0.590
3,5:57,4,6,NOR 42,10,0,"Thomas Morstead punts 41 yards, returned by Jarvis Landry for 9 yards (tackle by Trey Edmunds)",-0.590,-0.670
3,5:49,1,10,MIA 26,10,0,Jay Cutler pass complete short middle to Jarvis Landry for 3 yards (tackle by Vonn Bell),0.670,0.540
3,5:13,2,7,MIA 29,10,0,Jay Ajayi middle for -1 yards (tackle by Kenny Vaccaro),0.540,-0.300
3,4:24,3,8,MIA 28,10,0,Jay Cutler pass incomplete short right intended for Damien Williams (defended by Vonn Bell),-0.300,-1.500
3,4:19,4,8,MIA 28,10,0,"Matt Haack punts 42 yards, returned by Ted Ginn for 9 yards (tackle by John Denney)",-1.500,-1.530
3,4:09,1,10,NOR 39,10,0,"Penalty on Michael Hoomanawanui: False Start, 5 yards (no play)",1.530,1.200
3,4:09,1,15,NOR 34,10,0,Mark Ingram left guard for 1 yard (tackle by Lawrence Timmons),1.200,0.450
3,3:31,2,14,NOR 35,10,0,Drew Brees pass complete short left to Alvin Kamara for 3 yards (tackle by Bobby McCain),0.450,0.000
3,2:43,,,,,,Timeout #1 by New Orleans Saints,0.000,-0.170
3,2:43,3,11,NOR 38,10,0,Drew Brees pass complete short left to Michael Thomas for 12 yards (tackle by Reshad Jones),0.170,2.260
3,2:02,1,10,,10,0,Drew Brees pass incomplete short left intended for Mark Ingram,2.260,1.710
3,1:57,2,10,,10,0,Mark Ingram left guard for 3 yards (tackle by Nate Allen),1.710,1.420
3,1:15,3,7,MIA 47,10,0,Drew Brees pass complete short middle to Mark Ingram for 8 yards (tackle by Kiko Alonso),1.420,2.980
3,0:36,1,10,MIA 39,10,0,Adrian Peterson left tackle for 2 yards (tackle by Davon Godchaux),2.980,2.710
Quarter,Time,Down,ToGo,Location,NOR,MIA,Detail,EPB,EPA
