Quarter,Time,Tm,Detail,IND,PIT
1.0,11:56,Colts,Adam Vinatieri 31 yard field goal,3,0
,7:13,Steelers,Markus Wheaton 18 yard pass from Ben Roethlisberger (Shaun Suisham kick),3,7
2.0,14:57,Steelers,Martavis Bryant 5 yard pass from Ben Roethlisberger (Shaun Suisham kick),3,14
,14:16,Steelers,William Gay 33 yard interception return (Shaun Suisham kick),3,21
,11:36,Colts,Dwayne Allen 21 yard pass from Andrew Luck (Adam Vinatieri kick),10,21
,8:33,Steelers,Antonio Brown 8 yard pass from Ben Roethlisberger (Shaun Suisham kick),10,28
,5:08,Steelers,Antonio Brown 47 yard pass from Ben Roethlisberger (Shaun Suisham kick),10,35
,1:56,Colts,T.Y. Hilton 28 yard pass from Andrew Luck (Adam Vinatieri kick),17,35
,0:00,Colts,Adam Vinatieri 23 yard field goal,20,35
3.0,9:59,Steelers,Martavis Bryant 2 yard pass from Ben Roethlisberger (Shaun Suisham kick),20,42
,3:38,Colts,Ahmad Bradshaw 12 yard rush (Adam Vinatieri kick),27,42
,2:35,Colts,Donte Moncrief 31 yard pass from Andrew Luck (Adam Vinatieri kick),34,42
4.0,12:34,Steelers,"Safety, Intentional Grounding in the end zone by Andrew Luck.",34,44
,5:14,Steelers,Heath Miller 11 yard pass from Ben Roethlisberger (Shaun Suisham kick),34,51
