Unnamed: 0,IND,PIT
First Downs,26,34
Rush-Yds-TDs,10-63-1,32-117-0
Cmp-Att-Yd-TD-INT,26-45-400-3-2,40-49-522-6-0
Sacked-Yards,2-15,0-0
Net Pass Yards,385,522
Total Yards,448,639
Fumbles-Lost,1-0,2-2
Turnovers,2,2
Penalties-Yards,5-43,10-59
Third Down Conv.,5-10,8-13
Fourth Down Conv.,0-0,1-1
Time of Possession,20:17,39:43
