Quarter,Time,Down,ToGo,Location,IND,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,PIT 35,0,0,"Shaun Suisham kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,IND 20,0,0,Andrew Luck pass complete short left to Ahmad Bradshaw for 10 yards (tackle by William Gay),0.280,0.940
1,14:37,1,10,IND 30,0,0,Ahmad Bradshaw left tackle for 5 yards (tackle by Arthur Moats),0.940,1.070
1,13:56,2,5,IND 35,0,0,Andrew Luck pass complete deep right to T.Y. Hilton for 45 yards (tackle by Brice McCain),1.070,4.240
1,13:20,1,10,PIT 20,0,0,Andrew Luck pass complete short middle to Ahmad Bradshaw for 5 yards (tackle by Lawrence Timmons and Ryan Shazier),4.240,4.450
1,12:41,2,5,PIT 15,0,0,Dan Herron left end for 2 yards (tackle by Sean Spence and William Gay),4.450,4.100
1,12:05,3,3,PIT 13,0,0,Andrew Luck pass incomplete short left intended for Hakeem Nicks,4.100,2.670
1,12:00,4,3,PIT 13,3,0,Adam Vinatieri 31 yard field goal good,2.670,3.000
1,12:00,,,IND 35,3,0,"Pat McAfee kicks off 65 yards, touchback",0.000,-0.280
1,11:56,1,10,PIT 20,3,0,Le'Veon Bell right guard for 4 yards (tackle by Jerrell Freeman and D'Qwell Jackson),0.280,0.270
1,11:15,2,6,PIT 24,3,0,Ben Roethlisberger pass complete short right to Martavis Bryant for 5 yards (tackle by Greg Toler),0.270,0.230
1,10:53,3,1,PIT 29,3,0,Le'Veon Bell right guard for 6 yards (tackle by Jerrell Freeman and Bjoern Werner),0.230,1.270
1,10:09,1,10,PIT 35,3,0,Ben Roethlisberger pass complete deep middle to Martavis Bryant for 19 yards (tackle by Mike Adams). Penalty on D'Qwell Jackson: Illegal Contact (Declined),1.270,2.520
1,9:44,1,10,IND 46,3,0,Le'Veon Bell right guard for 3 yards (tackle by Greg Toler),2.520,2.380
1,9:03,2,7,IND 43,3,0,Ben Roethlisberger pass complete short middle to Heath Miller for 12 yards (tackle by Jerrell Freeman),2.380,3.510
1,8:18,1,10,IND 31,3,0,Ben Roethlisberger pass complete short right to Markus Wheaton for 9 yards (tackle by Vontae Davis),3.510,4.180
1,7:49,2,1,IND 22,3,0,LeGarrette Blount right guard for 4 yards (tackle by Mike Adams and D'Qwell Jackson),4.180,4.370
1,7:19,1,10,IND 18,3,6,"Ben Roethlisberger pass complete deep left to Markus Wheaton for 18 yards, touchdown",4.370,7.000
1,7:19,,,IND 2,3,7,Shaun Suisham kicks extra point good,0.000,0.000
1,7:19,,,PIT 35,3,7,"Shaun Suisham kicks off 68 yards, returned by Griff Whalen for 31 yards (tackle by William Gay)",0.000,-0.810
1,7:07,1,10,IND 28,3,7,Andrew Luck pass complete short left to Ahmad Bradshaw for no gain,0.810,0.260
1,6:44,2,10,IND 28,3,7,Andrew Luck pass incomplete short right intended for Coby Fleener,0.260,-0.430
1,6:40,3,10,IND 28,3,7,Andrew Luck pass incomplete short right intended for Hakeem Nicks,-0.430,-1.500
1,6:35,4,10,IND 28,3,7,"Pat McAfee punts 38 yards, returned by Antonio Brown for 1 yard (tackle by Andy Studebaker). Penalty on Darrius Heyward-Bey: Offensive Holding, 10 yards",-1.500,-0.540
1,6:26,1,10,PIT 24,3,7,Le'Veon Bell left guard for 3 yards (tackle by D'Qwell Jackson and Ricky Jean-Francois),0.540,0.400
1,5:42,2,7,PIT 27,3,7,Le'Veon Bell left guard for 10 yards (tackle by Mike Adams),0.400,1.400
1,5:14,1,10,PIT 37,3,7,Le'Veon Bell left guard for 3 yards (tackle by Cory Redding),1.400,1.260
1,4:33,2,7,PIT 40,3,7,Ben Roethlisberger pass incomplete short left intended for Le'Veon Bell,1.260,0.560
1,4:29,3,7,PIT 40,3,7,Ben Roethlisberger pass complete short middle to Le'Veon Bell for 12 yards (tackle by D'Qwell Jackson),0.560,2.390
1,3:57,1,10,IND 48,3,7,"LeGarrette Blount left tackle for 3 yards (tackle by Jerrell Freeman). Penalty on Heath Miller: Offensive Holding, 10 yards (no play)",2.390,1.730
1,3:35,1,20,PIT 42,3,7,Ben Roethlisberger pass complete short right to LeGarrette Blount for 3 yards (tackle by Ricky Jean-Francois),1.730,0.900
1,2:54,2,17,PIT 45,3,7,Ben Roethlisberger pass complete deep left to Lance Moore for 26 yards (tackle by Josh Gordy and Mike Adams),0.900,3.640
1,2:09,1,10,IND 29,3,7,Le'Veon Bell left guard for 11 yards (tackle by Erik Walden and Mike Adams),3.640,4.370
1,1:40,1,10,IND 18,3,7,Le'Veon Bell up the middle for 3 yards (tackle by Cory Redding),4.370,4.250
1,0:57,2,7,IND 15,3,7,Ben Roethlisberger pass complete short middle to Lance Moore for 7 yards (tackle by Jerrell Freeman),4.250,5.370
1,0:11,1,8,IND 8,3,7,Le'Veon Bell up the middle for 3 yards (tackle by Erik Walden),5.370,5.150
Quarter,Time,Down,ToGo,Location,IND,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,IND 5,3,13,"Ben Roethlisberger pass complete short left to Martavis Bryant for 5 yards, touchdown",5.150,7.000
2,15:00,,,IND 2,3,14,Shaun Suisham kicks extra point good,0.000,0.000
2,15:00,,,PIT 35,3,14,"Shaun Suisham kicks off 72 yards, returned by Griff Whalen for 30 yards (tackle by Robert Golden)",0.000,-0.480
