Quarter,Time,Tm,Detail,MIA,IND
1.0,9:34,Dolphins,Jay Fiedler 1 yard rush (Olindo Mare kick),7,0
,2:18,Dolphins,Rob Konrad 9 yard pass from Jay Fiedler (Olindo Mare kick),14,0
2.0,4:03,Colts,Mike Vanderjagt 25 yard field goal,14,3
,1:53,Dolphins,Ricky Williams 10 yard pass from Jay Fiedler (Olindo Mare kick),21,3
4.0,9:11,Colts,Marvin Harrison 16 yard pass from Peyton Manning (Mike Vanderjagt kick),21,10
,2:54,Colts,Mike Vanderjagt 23 yard field goal,21,13
