Unnamed: 0,MIA,IND
First Downs,17,29
Rush-Yds-TDs,34-163-1,31-143-0
Cmp-Att-Yd-TD-INT,13-18-187-2-1,26-45-289-1-3
Sacked-Yards,1-8,0-0
Net Pass Yards,179,289
Total Yards,342,432
Fumbles-Lost,2-0,0-0
Turnovers,1,3
Penalties-Yards,11-68,5-35
Third Down Conv.,5-10,4-11
Fourth Down Conv.,0-0,1-2
Time of Possession,28:47,31:13
