Quarter,Time,Tm,Detail,CHI,CLE
1.0,4:17,Browns,Phil Dawson 19 yard field goal,0,3
2.0,9:01,Bears,Robbie Gould 44 yard field goal,3,3
,0:37,Browns,Phil Dawson 44 yard field goal,3,6
3.0,5:29,Bears,Marc Edwards 8 yard pass from Kyle Orton (Robbie Gould kick),10,6
4.0,3:02,Browns,Antonio Bryant 33 yard pass from Trent Dilfer (Phil Dawson kick),10,13
,2:24,Browns,Antonio Bryant 28 yard pass from Trent Dilfer (Phil Dawson kick),10,20
