Unnamed: 0,CHI,CLE
First Downs,16,15
Rush-Yds-TDs,34-176-0,22-76-0
Cmp-Att-Yd-TD-INT,16-26-117-1-0,23-34-218-2-2
Sacked-Yards,4-27,3-16
Net Pass Yards,90,202
Total Yards,266,278
Fumbles-Lost,4-3,0-0
Turnovers,3,2
Penalties-Yards,7-57,5-55
Third Down Conv.,5-13,5-13
Fourth Down Conv.,0-2,0-0
Time of Possession,31:14,28:46
