Unnamed: 0,TEN,KAN
First Downs,21,13
Rush-Yds-TDs,29-148-2,28-157-2
Cmp-Att-Yd-TD-INT,19-33-241-0-1,15-28-163-0-1
Sacked-Yards,1-0,1-4
Net Pass Yards,241,159
Total Yards,389,316
Fumbles-Lost,2-2,2-0
Turnovers,3,1
Penalties-Yards,2-25,5-40
Third Down Conv.,6-14,4-14
Fourth Down Conv.,1-1,1-2
Time of Possession,30:35,29:25
