Quarter,Time,Tm,Detail,MIN,GNB
1.0,10:45,Vikings,Blair Walsh 39 yard field goal,3,0
,2:02,Packers,Mason Crosby 28 yard field goal,3,3
2.0,2:55,Vikings,Blair Walsh 32 yard field goal,6,3
3.0,10:32,Vikings,Adrian Peterson 3 yard rush (Blair Walsh kick),13,3
,4:28,Vikings,Captain Munnerlyn 55 yard defensive fumble return (Blair Walsh kick),20,3
4.0,13:27,Packers,Richard Rodgers 16 yard pass from Aaron Rodgers (Mason Crosby kick),20,10
,5:35,Packers,Mason Crosby 43 yard field goal,20,13
