Quarter,Time,Down,ToGo,Location,MIN,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Vikings to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,MIN 20,0,0,Adrian Peterson left tackle for 1 yard (tackle by Mike Pennel and Morgan Burnett),0.280,-0.130
1,14:24,2,9,MIN 21,0,0,Adrian Peterson right guard for 10 yards (tackle by Morgan Burnett),-0.130,1.000
1,13:40,1,10,MIN 31,0,0,Teddy Bridgewater pass incomplete deep right intended for Jerick McKinnon,1.000,0.460
1,13:35,2,10,MIN 31,0,0,Adrian Peterson left end for -1 yards (tackle by Clay Matthews),0.460,-0.360
1,12:50,3,11,MIN 30,0,0,Teddy Bridgewater pass complete short middle to Jerick McKinnon for 8 yards (tackle by Joe Thomas),-0.360,-0.850
1,12:16,4,3,MIN 38,0,0,Adam Thielen left end for 41 yards (tackle by Andy Mulumba),-0.850,4.170
1,11:31,1,10,GNB 21,0,0,Teddy Bridgewater sacked by Ha Ha Clinton-Dix for 0 yards,4.170,3.630
1,11:00,2,10,GNB 21,0,0,Teddy Bridgewater pass incomplete deep right intended for MyCole Pruitt,3.630,2.940
1,10:54,3,10,GNB 21,0,0,Teddy Bridgewater pass incomplete deep right intended for Jarius Wright,2.940,2.060
1,10:49,4,10,GNB 21,3,0,Blair Walsh 39 yard field goal good,2.060,3.000
1,10:49,,,MIN 35,3,0,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.280
1,10:45,1,10,GNB 20,3,0,Eddie Lacy left end for 1 yard (tackle by Harrison Smith and Sharrif Floyd),0.280,-0.130
1,10:12,2,9,GNB 21,3,0,Eddie Lacy right tackle for 11 yards (tackle by Andrew Sendejo and Tom Johnson),-0.130,1.070
1,9:37,1,10,GNB 32,3,0,"Aaron Rodgers pass incomplete deep right intended for Richard Rodgers. Penalty on Tom Johnson: Defensive Offside, 5 yards (no play)",1.070,1.800
1,9:29,1,5,GNB 37,3,0,Eddie Lacy right end for -1 yards (tackle by Chad Greenway),1.800,1.070
1,8:54,2,6,GNB 36,3,0,John Kuhn right guard for 3 yards (tackle by Everson Griffen),1.070,0.760
1,8:10,3,3,GNB 39,3,0,Aaron Rodgers middle for 2 yards (tackle by Eric Kendricks),0.760,-0.650
1,7:11,4,1,GNB 41,3,0,Eddie Lacy left guard for 2 yards (tackle by Sharrif Floyd and Andrew Sendejo),-0.650,1.800
1,6:36,1,10,GNB 43,3,0,Eddie Lacy right end for 6 yards (tackle by Sharrif Floyd and Everson Griffen),1.800,2.060
1,5:55,2,4,GNB 49,3,0,Aaron Rodgers pass complete short middle to Richard Rodgers for 18 yards (tackle by Andrew Sendejo),2.060,3.380
1,5:20,1,10,MIN 33,3,0,Eddie Lacy left tackle for 4 yards (tackle by Andrew Sendejo),3.380,3.380
1,4:45,2,6,MIN 29,3,0,Eddie Lacy left end for 5 yards (tackle by Chad Greenway),3.380,3.340
1,4:00,3,1,MIN 24,3,0,James Starks right end for 5 yards (tackle by Chad Greenway),3.340,4.310
1,3:30,1,10,MIN 19,3,0,Aaron Rodgers pass complete short left to James Jones for 8 yards (tackle by Harrison Smith),4.310,5.140
1,2:55,2,2,MIN 11,3,0,Aaron Rodgers pass incomplete short left intended for James Jones,5.140,4.430
1,2:48,3,2,MIN 11,3,0,Aaron Rodgers pass complete short right to John Kuhn for 1 yard (tackle by Chad Greenway),4.430,2.910
1,2:06,4,1,MIN 10,3,3,Mason Crosby 28 yard field goal good,2.910,3.000
1,2:06,,,GNB 35,3,3,"Mason Crosby kicks off 65 yards, returned by Jerick McKinnon for 24 yards (tackle by Nate Palmer)",0.000,-0.540
1,1:57,1,10,MIN 24,3,3,Adrian Peterson middle for 6 yards (tackle by Jake Ryan),0.540,0.810
1,1:22,2,4,MIN 30,3,3,Adrian Peterson left tackle for 2 yards (tackle by Mike Daniels and Letroy Guion),0.810,0.370
1,0:37,3,2,MIN 32,3,3,Teddy Bridgewater pass incomplete short middle intended for Mike Wallace,0.370,-1.240
1,0:33,4,2,MIN 32,3,3,"Jeff Locke punts 52 yards, returned by Micah Hyde for 10 yards (tackle by Justin Trattou). Penalty on Jeff Janis: Illegal Block Above the Waist, 10 yards",-1.240,0.140
1,0:22,1,10,GNB 16,3,3,Aaron Rodgers pass complete short right to Richard Rodgers for 9 yards (tackle by Andrew Sendejo),-0.140,0.690
Quarter,Time,Down,ToGo,Location,MIN,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,1,GNB 25,3,3,James Starks right guard for 2 yards (tackle by Chad Greenway),0.690,0.740
2,14:28,1,10,GNB 27,3,3,Aaron Rodgers pass incomplete short right intended for Andrew Quarless,0.740,0.200
2,14:21,2,10,GNB 27,3,3,James Starks left end for 2 yards (tackle by Sharrif Floyd),0.200,-0.230
2,13:35,3,8,GNB 29,3,3,Aaron Rodgers sacked by Tom Johnson and Harrison Smith for -6 yards,-0.230,-1.830
2,12:58,4,14,GNB 23,3,3,"Tim Masthay punts 47 yards, muffed catch by Marcus Sherels, ball out of bounds at MIN-16",-1.830,0.140
2,12:48,1,10,MIN 16,3,3,Adrian Peterson right tackle for no gain (tackle by Datone Jones),-0.140,-0.660
2,12:26,2,10,MIN 16,3,3,Adrian Peterson right end for 2 yards (tackle by B.J. Raji and Mike Daniels),-0.660,-1.070
2,11:44,3,8,MIN 18,3,3,Teddy Bridgewater pass complete short middle to Mike Wallace for 22 yards (tackle by Morgan Burnett),-1.070,1.600
2,11:01,1,10,MIN 40,3,3,Adrian Peterson middle for 2 yards (tackle by Letroy Guion and Morgan Burnett),1.600,1.320
2,10:21,2,8,MIN 42,3,3,Teddy Bridgewater pass complete short left to Adrian Peterson for 1 yard (tackle by Jake Ryan),1.320,0.760
2,9:29,3,7,MIN 43,3,3,Teddy Bridgewater sacked by Julius Peppers for -3 yards,0.760,-0.720
2,8:48,4,10,MIN 40,3,3,"Jeff Locke punts 41 yards, fair catch by Micah Hyde",-0.720,-0.150
2,8:41,1,10,GNB 19,3,3,Eddie Lacy left tackle for -2 yards (tackle by Everson Griffen and Eric Kendricks),0.150,-0.720
2,8:11,2,12,GNB 17,3,3,Aaron Rodgers pass complete short left to Eddie Lacy for -7 yards (tackle by Kenrick Ellis and Anthony Barr),-0.720,-2.470
2,7:28,3,19,GNB 10,3,3,Aaron Rodgers pass complete short middle to Eddie Lacy for 14 yards (tackle by Eric Kendricks),-2.470,-1.770
2,6:44,4,5,GNB 24,3,3,"Penalty on Rick Lovato: False Start, 5 yards (no play)",-1.770,-2.140
2,6:41,4,10,GNB 19,3,3,"Tim Masthay punts 49 yards, returned by Marcus Sherels for 11 yards (tackle by Chris Banjo)",-2.140,-1.800
2,6:32,1,10,MIN 43,3,3,Teddy Bridgewater pass complete short right to Adam Thielen for 16 yards (tackle by Damarious Randall and Morgan Burnett),1.800,2.850
2,5:45,1,10,GNB 41,3,3,Teddy Bridgewater pass complete short right to Jerick McKinnon for 15 yards (tackle by Nick Perry),2.850,3.840
2,5:11,1,10,GNB 26,3,3,Adrian Peterson middle for 3 yards (tackle by Datone Jones),3.840,3.700
2,4:38,2,7,GNB 23,3,3,"Adrian Peterson right guard for 3 yards (tackle by Mike Neal). Penalty on Clay Matthews: Unnecessary Roughness, 9 yards",3.700,4.840
2,4:21,1,10,GNB 11,3,3,Adrian Peterson right tackle for 2 yards (tackle by Jake Ryan and Mike Daniels),4.840,4.510
2,3:45,2,8,GNB 9,3,3,Teddy Bridgewater pass incomplete,4.510,3.530
2,3:39,3,8,GNB 9,3,3,Teddy Bridgewater sacked by Clay Matthews for -5 yards,3.530,2.510
2,2:58,4,13,GNB 14,6,3,Blair Walsh 32 yard field goal good,2.510,3.000
2,2:58,,,MIN 35,6,3,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.280
2,2:55,1,10,GNB 20,6,3,Aaron Rodgers pass complete short right to Davante Adams for 24 yards (tackle by Danielle Hunter),0.280,1.860
2,2:26,1,10,GNB 44,6,3,Aaron Rodgers pass complete short middle to James Starks for -1 yards (tackle by Anthony Barr),1.860,1.180
2,2:00,2,11,GNB 43,6,3,"Aaron Rodgers pass incomplete short right intended for James Jones. Penalty on Terence Newman: Defensive Pass Interference, 12 yards (no play)",1.180,2.590
2,1:55,1,10,MIN 45,6,3,Aaron Rodgers pass complete short right to James Starks for 6 yards (tackle by Terence Newman and Anthony Barr),2.590,2.850
2,1:30,2,4,MIN 39,6,3,Aaron Rodgers pass incomplete short left intended for Randall Cobb,2.850,2.150
2,1:27,3,4,MIN 39,6,3,Aaron Rodgers pass complete short left to Richard Rodgers for -1 yards (tackle by Eric Kendricks),2.150,2.150
2,0:52,3,4,MIN 39,6,3,Timeout #1 by Minnesota Vikings,2.150,0.590
2,0:52,4,5,MIN 40,6,3,Aaron Rodgers pass incomplete deep left intended for James Jones,0.590,-1.600
2,0:46,1,10,MIN 40,6,3,Teddy Bridgewater pass incomplete deep left intended for Stefon Diggs,1.600,1.050
2,0:40,2,10,MIN 40,6,3,Teddy Bridgewater pass complete short middle to Jerick McKinnon for 10 yards (tackle by Morgan Burnett),1.050,1.050
2,0:34,2,10,MIN 40,6,3,Timeout #2 by Minnesota Vikings,1.050,2.260
2,0:34,1,10,,6,3,Teddy Bridgewater pass incomplete (defended by Mike Daniels),2.260,1.710
2,0:29,2,10,,6,3,Teddy Bridgewater pass incomplete short right intended for Kyle Rudolph,1.710,1.030
2,0:23,3,10,,6,3,Teddy Bridgewater pass complete short middle to Stefon Diggs for 8 yards (tackle by Micah Hyde),1.030,1.030
2,0:15,3,10,,6,3,Timeout #3 by Minnesota Vikings,1.030,0.460
2,0:15,4,2,GNB 42,6,3,"Penalty on Teddy Bridgewater: Delay of Game, 5 yards (no play)",0.460,0.130
2,0:12,4,7,GNB 47,6,3,"Jeff Locke punts 30 yards, fair catch by Micah Hyde",0.130,0.060
2,0:08,1,10,GNB 17,6,3,Aaron Rodgers kneels for -1 yards,-0.060,-0.730
Quarter,Time,Down,ToGo,Location,MIN,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,MIN 35,6,3,"Blair Walsh kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,GNB 20,6,3,Eddie Lacy middle for 5 yards (tackle by Sharrif Floyd and Eric Kendricks),0.280,0.410
3,14:31,2,5,GNB 25,6,3,Eddie Lacy left tackle for -5 yards (tackle by Everson Griffen),0.410,-0.960
3,14:15,3,10,GNB 20,6,3,"Aaron Rodgers pass incomplete deep left intended for James Jones. Penalty on Sharrif Floyd: Defensive 12 On-field, 5 yards (no play)",-0.960,-0.300
