Quarter,Time,Down,ToGo,Location,CLE,SEA,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Seahawks won the coin toss and deferred, Browns to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Jason Myers kicks off 60 yards, returned by Pierre Strong for 15 yards (tackle by Jerrick Reed)",0.000,0.280
1,14:57,1,10,CLE 20,0,0,Kareem Hunt up the middle for 3 yards (tackle by Darrell Taylor and Jordyn Brooks),0.280,0.140
1,14:19,2,7,CLE 23,0,0,P.J. Walker pass complete short left to Amari Cooper for 5 yards,0.140,0.100
1,13:45,3,2,CLE 28,0,0,Jerome Ford right end for -1 yards (tackle by Jamal Adams and Boye Mafe),0.100,-1.570
1,13:00,4,3,CLE 27,0,0,"Corey Bojorquez punts 54 yards, returned by DeeJay Dallas for 11 yards (tackle by Matthew Adams and Tony Fields). Penalty on D'Wayne Eskridge: Illegal Block Above the Waist, 10 yards (accepted)",-1.570,-0.280
1,12:48,1,10,SEA 20,0,0,Geno Smith pass complete short right to Tyler Lockett for 6 yards (tackle by Denzel Ward),0.280,0.540
1,12:20,2,4,SEA 26,0,0,Kenneth Walker up the middle for no gain (tackle by Jeremiah Owusu-Koramoah),0.540,-0.160
1,11:43,3,4,SEA 26,0,0,Geno Smith pass complete short left to Tyler Lockett for 13 yards (tackle by Greg Newsome),-0.160,1.530
1,11:05,1,10,SEA 39,0,0,Kenneth Walker left guard for 45 yards (tackle by Juan Thornhill),1.530,4.510
1,10:16,,,,,,Timeout #1 by Seattle Seahawks,,
1,10:16,1,10,CLE 16,0,0,Kenneth Walker up the middle for 2 yards (tackle by Rodney McLeod and Grant Delpit),4.510,4.210
1,9:40,2,8,CLE 14,0,0,Geno Smith pass incomplete short left intended for D.K. Metcalf,4.210,3.370
1,9:35,3,8,CLE 14,0,0,Geno Smith pass complete short right to Tyler Lockett for 11 yards (tackle by Denzel Ward),3.370,6.510
1,8:56,1,3,CLE 3,0,6,"Jake Bobo right guard for 3 yards, touchdown",6.510,7.000
1,8:53,,,CLE 15,0,7,Jason Myers kicks extra point good,0.000,0.000
1,8:53,,,SEA 35,0,7,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
1,8:53,1,10,CLE 25,0,7,P.J. Walker pass incomplete short right intended for Amari Cooper,0.610,0.060
1,8:49,2,10,CLE 25,0,7,Kareem Hunt up the middle for 8 yards (tackle by Julian Love and Bobby Wagner),0.060,0.430
1,8:28,3,2,CLE 33,0,7,P.J. Walker pass complete deep left to Amari Cooper for 20 yards,0.430,2.460
1,8:11,1,10,SEA 47,0,7,P.J. Walker pass incomplete short right,2.460,1.910
1,8:06,2,10,SEA 47,0,7,"P.J. Walker sacked by Jordyn Brooks for -9 yards. P.J. Walker fumbles (forced by Jordyn Brooks), recovered by Boye Mafe at CLE-44 and returned for 3 yards (tackle by Wyatt Teller)",1.910,-2.850
1,7:56,1,10,CLE 41,0,7,Geno Smith pass complete short middle to Tyler Lockett for 17 yards (tackle by Juan Thornhill),2.850,3.970
1,7:18,1,10,CLE 24,0,7,D'Wayne Eskridge left end for -5 yards (tackle by Anthony Walker),3.970,2.760
1,6:38,2,15,CLE 29,0,7,Geno Smith pass complete short right to Jaxon Smith-Njigba for 19 yards (tackle by Grant Delpit),2.760,4.910
1,6:23,1,10,CLE 10,0,7,Geno Smith right guard for -2 yards (tackle by Jeremiah Owusu-Koramoah),4.910,3.860
1,5:43,2,12,CLE 12,0,7,Geno Smith pass incomplete short right intended for D.K. Metcalf,3.860,3.100
1,5:37,3,12,CLE 12,0,13,"Geno Smith pass complete short left to Tyler Lockett for 12 yards, touchdown",3.100,7.000
1,5:30,,,CLE 15,0,14,Jason Myers kicks extra point good,0.000,0.000
1,5:30,,,SEA 35,0,14,"Jason Myers kicks off 65 yards, touchback.",0.000,0.610
1,5:30,1,10,CLE 25,0,14,Kareem Hunt right guard for 4 yards (tackle by Cameron Young),0.610,0.600
1,4:51,2,6,CLE 29,0,14,P.J. Walker pass complete short middle to Kareem Hunt for 12 yards (tackle by Derick Hall and Bobby Wagner),0.600,1.660
1,4:11,1,10,CLE 41,0,14,P.J. Walker pass complete short left to Pierre Strong for 41 yards (tackle by Riq Woolen),1.660,4.370
1,3:30,1,10,SEA 18,6,14,"P.J. Walker pass complete short middle to David Njoku for 18 yards, touchdown",4.370,7.000
1,3:22,,,SEA 15,7,14,Dustin Hopkins kicks extra point good,0.000,0.000
1,3:22,,,CLE 35,7,14,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
1,3:22,1,10,SEA 25,7,14,Geno Smith pass complete short right to Jake Bobo for 15 yards (tackle by Juan Thornhill),0.610,1.600
