Unnamed: 0,CLE,SEA
First Downs,23,17
Rush-Yds-TDs,40-155-1,17-114-1
Cmp-Att-Yd-TD-INT,16-32-257-1-2,23-37-254-2-2
Sacked-Yards,3-27,1-6
Net Pass Yards,230,248
Total Yards,385,362
Fumbles-Lost,1-1,1-0
Turnovers,3,2
Penalties-Yards,4-25,7-43
Third Down Conv.,6-15,4-12
Fourth Down Conv.,0-1,1-1
Time of Possession,36:40,23:20
