Quarter,Time,Tm,Detail,SDG,DEN
1.0,8:15,Broncos,Rod Smith 16 yard pass from Jake Plummer (Jason Elam kick),0,7
,2:18,Chargers,Nate Kaeding 23 yard field goal,3,7
2.0,12:24,Broncos,Jason Elam 22 yard field goal,3,10
,7:43,Broncos,Jason Elam 23 yard field goal,3,13
3.0,7:37,Chargers,Drew Brees 1 yard rush (Nate Kaeding kick),10,13
,3:29,Broncos,Ashley Lelie 33 yard pass from Jake Plummer (Jason Elam kick),10,20
4.0,14:06,Chargers,Nate Kaeding 51 yard field goal,13,20
,11:12,Broncos,Jason Elam 43 yard field goal,13,23
