Unnamed: 0,SDG,DEN
First Downs,16,18
Rush-Yds-TDs,30-85-1,21-37-0
Cmp-Att-Yd-TD-INT,15-30-159-0-0,25-36-294-2-0
Sacked-Yards,4-30,1-3
Net Pass Yards,129,291
Total Yards,214,328
Fumbles-Lost,2-1,2-1
Turnovers,1,1
Penalties-Yards,6-61,3-25
Third Down Conv.,6-15,2-11
Fourth Down Conv.,0-0,1-1
Time of Possession,30:45,29:15
