Unnamed: 0,IND,TEN
First Downs,23,19
Rush-Yds-TDs,22-81-1,34-141-1
Cmp-Att-Yd-TD-INT,28-42-312-1-1,17-27-184-1-0
Sacked-Yards,2-12,3-12
Net Pass Yards,300,172
Total Yards,381,313
Fumbles-Lost,1-0,2-2
Turnovers,1,2
Penalties-Yards,5-44,4-40
Third Down Conv.,5-12,7-14
Fourth Down Conv.,0-0,0-2
Time of Possession,29:46,30:14
