Quarter,Time,Tm,Detail,CLE,ATL
1.0,1:36,Browns,Reuben Droughns 1 yard rush (Phil Dawson kick),7,0
2.0,11:59,Browns,Braylon Edwards 19 yard pass from Charlie Frye (Phil Dawson kick),14,0
,0:03,Falcons,Morten Andersen 44 yard field goal,14,3
3.0,1:06,Falcons,Michael Jenkins 12 yard pass from Michael Vick (Morten Andersen kick),14,10
4.0,8:52,Falcons,Morten Andersen 41 yard field goal,14,13
,5:35,Browns,Phil Dawson 43 yard field goal,17,13
