Unnamed: 0,CLE,ATL
First Downs,9,16
Rush-Yds-TDs,27-91-1,29-149-0
Cmp-Att-Yd-TD-INT,16-22-165-1-0,16-41-197-1-2
Sacked-Yards,5-20,1-3
Net Pass Yards,145,194
Total Yards,236,343
Fumbles-Lost,2-2,1-1
Turnovers,2,3
Penalties-Yards,7-52,8-76
Third Down Conv.,2-14,6-17
Fourth Down Conv.,1-1,0-1
Time of Possession,31:38,28:22
