Quarter,Time,Down,ToGo,Location,NYG,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Giants won the coin toss, Giants to receive the opening kickoff.",,
1,15:00,,,WAS 30,0,0,"John Hall kicks off 61 yards, returned by Chad Morton for 41 yards (tackle by John Hall)",0.000,2.260
1,14:53,1,10,WAS 50,0,0,Eli Manning pass incomplete intended for Plaxico Burress,2.260,1.710
1,14:45,2,10,WAS 50,0,0,Tiki Barber right end for -2 yards (tackle by Cornelius Griffin),1.710,0.760
1,14:03,3,12,NYG 48,0,0,Eli Manning pass complete to Jim Finn for 3 yards (tackle by Chris Clemons and Sean Taylor),0.760,0.000
1,13:22,4,9,WAS 49,0,0,"Jeff Feagles punts 49 yards, touchback. Penalty on David Tyree: Illegal Touch Kick",0.000,-0.280
1,13:10,1,10,WAS 20,0,0,Clinton Portis left end for 4 yards (tackle by Kendrick Clancy),0.280,0.270
1,12:32,2,6,WAS 24,0,0,Clinton Portis right guard for 2 yards (tackle by Michael Strahan),0.270,-0.160
1,11:51,3,4,WAS 26,0,0,"Mark Brunell pass incomplete intended for Santana Moss (defended by Curtis DeLoatch). Penalty on Curtis DeLoatch: Defensive Pass Interfere, 5 yards (no play)",-0.160,1.000
1,11:46,1,10,WAS 31,0,0,"Clinton Portis left tackle for 4 yards (tackle by Gibril Wilson). Penalty on Kendrick Clancy: Defensive Holding, 5 yards",1.000,1.600
1,11:24,1,10,WAS 40,0,0,Clinton Portis left end for 1 yard (tackle by Nick Greisen and Will Allen),1.600,1.190
1,10:46,2,9,WAS 41,0,0,Mark Brunell for 9 yards,1.190,2.260
1,10:17,1,10,WAS 50,0,0,Clinton Portis right end for 5 yards (tackle by Gibril Wilson),2.260,2.390
1,9:43,2,5,NYG 45,0,0,Ladell Betts right tackle for 2 yards (tackle by Nick Greisen),2.390,1.950
1,9:10,3,3,NYG 43,0,0,Mark Brunell pass complete to Robert Royal for 13 yards (tackle by Nick Greisen and Osi Umenyiora),1.950,3.580
1,8:26,1,10,NYG 30,0,0,Ladell Betts right guard for 4 yards (tackle by Kenderick Allen),3.580,3.570
1,7:50,2,6,NYG 26,0,0,Ladell Betts right end for 1 yard (tackle by Chase Blackburn and Kendrick Clancy),3.570,3.010
1,7:10,3,5,NYG 25,0,0,Mark Brunell pass complete to Santana Moss for 8 yards,3.010,4.440
1,6:46,1,10,NYG 17,0,0,Clinton Portis up the middle for no gain (tackle by Michael Strahan and Fred Robbins),4.440,3.850
1,6:09,2,10,NYG 17,0,6,"Mark Brunell pass complete to Santana Moss for 17 yards, touchdown",3.850,7.000
1,,,,NYG 2,0,7,John Hall kicks extra point good,0.000,0.000
1,,,,WAS 30,0,7,"John Hall kicks off 59 yards, returned by Chad Morton for 24 yards (tackle by Mike Sellers)",0.000,1.270
1,5:56,1,10,NYG 35,0,7,Eli Manning pass complete to Amani Toomer for 20 yards,1.270,2.590
1,5:20,1,10,WAS 45,0,7,Tiki Barber right end for 1 yard (tackle by Sean Taylor),2.590,2.180
1,4:38,2,9,WAS 44,0,7,Tiki Barber right tackle for 9 yards (tackle by Shawn Springs and Lemar Marshall),2.180,3.250
1,3:53,1,10,WAS 35,0,7,Eli Manning pass incomplete intended for Jim Finn,3.250,2.700
1,3:49,2,10,WAS 35,0,7,Eli Manning pass complete to Jim Finn for 6 yards,2.700,2.810
1,3:21,3,4,WAS 29,0,7,Eli Manning pass incomplete intended for Jeremy Shockey (defended by Phillip Daniels),2.810,1.560
1,3:15,4,4,WAS 29,3,7,Jay Feely 47 yard field goal good,1.560,3.000
1,,,,NYG 30,3,7,"Jay Feely kicks off 66 yards, returned by Antonio Brown for 21 yards (tackle by Justin Tuck)",0.000,0.610
1,3:05,1,10,WAS 25,3,7,Clinton Portis right tackle for -1 yards (tackle by Reggie Torbor and Chase Blackburn),0.610,-0.070
1,2:27,2,11,WAS 24,9,7,"Mark Brunell pass incomplete intended for James Thrash is intercepted by Chase Blackburn at WAS-31 and returned for 31 yards, touchdown",-0.070,-7.000
1,,,,WAS 2,10,7,Jay Feely kicks extra point good,0.000,0.000
1,,,,NYG 30,10,7,"Jay Feely kicks off 69 yards, returned by Antonio Brown for 29 yards (tackle by David Tyree)",0.000,0.940
1,2:14,1,10,WAS 30,10,7,Clinton Portis left end for 1 yard (tackle by Michael Strahan),0.940,0.530
1,1:41,2,9,WAS 31,10,7,Clinton Portis left end for no gain (tackle by Michael Strahan),0.530,-0.160
