Unnamed: 0,NYG,WAS
First Downs,18,22
Rush-Yds-TDs,19-99-0,43-156-1
Cmp-Att-Yd-TD-INT,23-42-244-1-1,13-19-233-4-1
Sacked-Yards,1-11,1-9
Net Pass Yards,233,224
Total Yards,332,380
Fumbles-Lost,0-0,0-0
Turnovers,1,1
Penalties-Yards,9-64,6-81
Third Down Conv.,4-12,9-14
Fourth Down Conv.,0-2,0-0
Time of Possession,26:47,33:13
