Quarter,Time,Tm,Detail,SDG,MIN
1.0,1:15,Vikings,Blair Walsh 24 yard field goal,0,3
2.0,9:05,Vikings,Adrian Peterson 2 yard rush (Blair Walsh kick),0,10
,1:17,Chargers,Keenan Allen 34 yard pass from Philip Rivers (Josh Lambo kick),7,10
3.0,12:32,Vikings,Adrian Peterson 43 yard rush (Blair Walsh kick),7,17
,2:42,Vikings,Zach Line 1 yard rush (Blair Walsh kick),7,24
4.0,13:57,Vikings,Chad Greenway 91 yard interception return (Blair Walsh kick),7,31
,0:32,Chargers,Keenan Allen 19 yard pass from Kellen Clemens (Josh Lambo kick),14,31
