0,1
Game Info,Game Info
Won Toss,Chargers (deferred)
Roof,outdoors
Surface,fieldturf
Duration,3:00
Attendance,52400
Weather,"75 degrees, relative humidity 0%, wind 12 mph, wind chill 0"
Vegas Line,Minnesota Vikings -1.0
Over/Under,44.5 (over)
