Unnamed: 0,SDG,MIN
First Downs,21,18
Rush-Yds-TDs,28-90-0,31-163-3
Cmp-Att-Yd-TD-INT,26-40-309-2-1,13-24-121-0-1
Sacked-Yards,4-30,0-0
Net Pass Yards,279,121
Total Yards,369,284
Fumbles-Lost,1-1,0-0
Turnovers,2,1
Penalties-Yards,7-74,3-39
Third Down Conv.,8-17,3-9
Fourth Down Conv.,0-1,0-0
Time of Possession,33:29,26:31
