Unnamed: 0,CAR,PHI
First Downs,21,10
Rush-Yds-TDs,31-158-0,20-81-2
Cmp-Att-Yd-TD-INT,24-42-205-1-4,14-26-209-0-1
Sacked-Yards,2-19,1-7
Net Pass Yards,186,202
Total Yards,344,283
Fumbles-Lost,0-0,0-0
Turnovers,4,1
Penalties-Yards,8-45,4-38
Third Down Conv.,6-17,4-11
Fourth Down Conv.,2-2,0-0
Time of Possession,38:30,21:30
