Quarter,Time,Down,ToGo,Location,CAR,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,CAR 30,0,0,"John Kasay kicks off 64 yards, returned by J.R. Reed for 66 yards (tackle by Ricky Manning). Penalty on PHI: Unsportsmanlike Conduct, 15 yards",0.000,2.720
1,14:51,1,10,CAR 43,0,0,Donovan McNabb pass complete to Todd Pinkston for 4 yards (tackle by Dan Morgan),2.720,2.720
1,14:13,2,6,CAR 39,0,0,Donovan McNabb pass complete to Todd Pinkston for 13 yards (tackle by Ricky Manning). Penalty on Brentson Buckner: Defensive Offside (Declined),2.720,3.840
1,13:44,1,10,CAR 26,0,0,Brian Westbrook left tackle for 3 yards (tackle by Julius Peppers),3.840,3.700
1,13:09,2,7,CAR 23,0,0,Donovan McNabb pass incomplete intended for Terrell Owens (defended by Mike Minter),3.700,3.010
1,13:03,3,7,CAR 23,0,0,Donovan McNabb sacked by Brentson Buckner and Mike Rucker for -7 yards,3.010,1.410
1,12:30,4,14,CAR 30,0,3,David Akers 48 yard field goal good,1.410,3.000
1,,,,PHI 30,0,3,"David Akers kicks off 73 yards, touchback",0.000,0.280
1,12:25,1,10,CAR 20,0,3,Stephen Davis up the middle for 2 yards (tackle by Nate Wayne),0.280,0.000
1,11:48,2,8,CAR 22,0,3,Stephen Davis left end for 5 yards (tackle by Michael Lewis),0.000,-0.030
1,11:13,3,3,CAR 27,0,3,Jake Delhomme pass complete to Muhsin Muhammad for 10 yards (tackle by Lito Sheppard). Penalty on Lito Sheppard: Defensive Holding (Declined),-0.030,1.400
1,10:50,1,10,CAR 37,0,3,Stephen Davis right tackle for 12 yards (tackle by Michael Lewis and Sheldon Brown),1.400,2.190
1,10:13,1,10,CAR 49,0,3,Brad Hoover left tackle for 8 yards (tackle by Mark Simoneau),2.190,2.730
1,9:32,2,2,PHI 43,0,3,Brad Hoover left tackle for 3 yards (tackle by Dhani Jones),2.730,2.920
1,9:32,1,10,PHI 40,0,3,"Penalty on Doug Brzezinski: False Start, 5 yards (no play)",2.920,2.590
1,8:27,1,15,PHI 45,0,3,Stephen Davis up the middle for 1 yard (tackle by Sam Rayburn),2.590,1.830
1,7:47,2,14,PHI 44,0,3,Jake Delhomme pass complete to Kris Mangum for 4 yards (tackle by Hugh Douglas),1.830,1.680
1,6:58,3,10,PHI 40,0,3,Jake Delhomme pass incomplete intended for Keary Colbert,1.680,0.590
1,6:54,4,10,PHI 40,0,3,"Todd Sauerbrun punts 40 yards, touchback. Penalty on Brandon Short: Ineligible Downfield Kick (Declined)",0.590,-0.280
1,6:46,1,10,PHI 20,0,3,Brian Westbrook left end for 1 yard (tackle by Al Wallace),0.280,-0.130
1,6:11,2,9,PHI 21,0,3,Donovan McNabb pass complete to Terrell Owens for 10 yards (tackle by Julius Peppers),-0.130,1.000
1,5:32,1,10,PHI 31,0,3,Dorsey Levens up the middle for 5 yards (tackle by Dan Morgan and Artrell Hawkins),1.000,1.140
1,4:59,2,5,PHI 36,0,3,Donovan McNabb pass complete to Terrell Owens for 53 yards (tackle by Ricky Manning),1.140,4.840
1,4:31,,,,0,3,Timeout #1 by Philadelphia Eagles,0.000,4.840
1,4:31,1,10,CAR 11,0,3,Donovan McNabb pass complete to Brian Westbrook for 10 yards (tackle by Dan Morgan),4.840,6.970
1,3:50,1,1,CAR 1,0,3,Donovan McNabb pass incomplete intended for Mike Bartrum (defended by Dan Morgan),6.970,5.910
1,3:44,2,1,CAR 1,0,9,"Dorsey Levens up the middle for 1 yard, touchdown",5.910,7.000
1,,,,CAR 2,0,10,David Akers kicks extra point good,0.000,0.000
1,,,,PHI 30,0,10,"David Akers kicks off 65 yards, returned by Jamall Broussard for 20 yards (tackle by Greg Lewis)",0.000,0.610
1,3:34,1,10,CAR 25,0,10,Stephen Davis up the middle for 4 yards (tackle by Corey Simon),0.610,0.600
1,2:53,2,6,CAR 29,0,10,Jake Delhomme pass complete to Keary Colbert for 30 yards (tackle by Brian Dawkins),0.600,2.850
1,2:11,1,10,PHI 41,0,10,Stephen Davis right tackle for no gain (tackle by Darwin Walker),2.850,2.310
1,1:31,2,10,PHI 41,0,10,Jake Delhomme pass complete to Michael Gaines for 2 yards (tackle by Dhani Jones),2.310,1.880
1,1:31,3,8,PHI 39,0,10,"Penalty on Jordan Gross: False Start, 5 yards (no play)",1.880,1.220
1,0:21,3,13,PHI 44,0,10,Jake Delhomme up the middle for 2 yards (tackle by Derrick Burgess),1.220,0.460
Quarter,Time,Down,ToGo,Location,CAR,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,11,PHI 42,0,10,"Todd Sauerbrun punts 36 yards. Penalty on Corey Simon: Offensive Holding, 3 yards",0.460,0.380
2,14:48,1,10,PHI 3,0,10,Donovan McNabb pass incomplete intended for Dorsey Levens,-0.380,-0.780
2,14:43,2,10,PHI 3,0,10,Dorsey Levens left guard for 3 yards (tackle by Julius Peppers),-0.780,-1.070
2,14:02,3,7,PHI 6,0,10,Donovan McNabb pass complete to Chad Lewis for 5 yards (tackle by Dan Morgan),-1.070,-2.490
2,13:31,4,2,PHI 11,0,10,Dirk Johnson punts 52 yards,-2.490,-1.400
2,13:19,1,10,CAR 37,0,10,Jake Delhomme pass complete to Ricky Proehl for 7 yards (tackle by Roderick Hood),1.400,1.800
2,12:40,2,3,CAR 44,0,10,Stephen Davis right guard for 2 yards (tackle by Quintin Mikell),1.800,1.360
2,12:04,3,1,CAR 46,0,10,Stephen Davis left end for 2 yards (tackle by Derrick Burgess),1.360,2.130
