Quarter,Time,Tm,Detail,CAR,PHI
1.0,12:25,Eagles,David Akers 48 yard field goal,0,3
,3:40,Eagles,Dorsey Levens 1 yard rush (David Akers kick),0,10
2.0,4:15,Eagles,David Akers 34 yard field goal,0,13
3.0,8:26,Eagles,David Akers 43 yard field goal,0,16
,4:32,Eagles,Lito Sheppard 64 yard interception return (David Akers kick),0,23
4.0,2:48,Panthers,Muhsin Muhammad 2 yard pass from Jake Delhomme (Keary Colbert pass from Jake Delhomme),8,23
,2:08,Eagles,Brian Westbrook 42 yard rush (David Akers kick),8,30
