Quarter,Time,Tm,Detail,IND,BUF
1.0,9:25,Bills,Fred Jackson 11 yard pass from Ryan Fitzpatrick (Rian Lindell kick),0,7
,3:52,Colts,Mike Hart 1 yard rush (Matt Stover kick),7,7
2.0,5:02,Bills,Lee Evans 21 yard pass from Ryan Fitzpatrick (Rian Lindell kick),7,14
,2:28,Bills,Terrell Owens 41 yard pass from Ryan Fitzpatrick (Rian Lindell kick),7,21
,0:14,Bills,Rian Lindell 31 yard field goal,7,24
3.0,7:32,Bills,Rian Lindell 33 yard field goal,7,27
,0:14,Bills,Rian Lindell 36 yard field goal,7,30
