Unnamed: 0,DEN,PHI
First Downs,14,25
Rush-Yds-TDs,19-35-0,37-197-3
Cmp-Att-Yd-TD-INT,19-38-208-1-2,16-28-234-4-0
Sacked-Yards,3-17,2-12
Net Pass Yards,191,222
Total Yards,226,419
Fumbles-Lost,1-0,1-1
Turnovers,2,1
Penalties-Yards,14-105,5-35
Third Down Conv.,3-13,5-13
Fourth Down Conv.,1-1,2-4
Time of Possession,30:06,29:54
