Quarter,Time,Down,ToGo,Location,DEN,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,DEN 25,0,0,Brock Osweiler pass complete short right to Demaryius Thomas for 14 yards (tackle by Jalen Mills),0.610,0.000
1,14:28,,,,,,Timeout #1 by Denver Broncos,0.000,-1.530
1,14:28,1,10,DEN 39,0,0,C.J. Anderson right tackle for 4 yards (tackle by Fletcher Cox),1.530,1.530
1,13:59,2,6,DEN 43,0,0,C.J. Anderson middle for 3 yards (tackle by Timmy Jernigan),1.530,1.220
1,13:21,3,3,DEN 46,0,0,"Brock Osweiler pass incomplete short right intended for Emmanuel Sanders. Penalty on Jalen Mills: Defensive Holding, 5 yards (no play)",1.220,2.320
1,13:17,1,10,PHI 49,0,0,C.J. Anderson middle for 3 yards (tackle by Chris Long),2.320,2.190
1,12:33,2,7,PHI 46,0,0,Brock Osweiler pass complete deep left to Cody Latimer for 19 yards (tackle by Patrick Robinson),2.190,3.780
1,11:52,1,10,PHI 27,0,0,C.J. Anderson left tackle for 4 yards (tackle by Rasul Douglas),3.780,3.770
1,11:14,2,6,PHI 23,0,0,"Brock Osweiler pass complete short right to Demaryius Thomas for 3 yards (tackle by Nigel Bradham). Penalty on Garett Bolles: Offensive Holding, 11 yards (no play)",3.770,2.290
1,10:49,2,17,PHI 34,0,0,Brock Osweiler pass incomplete short left intended for Emmanuel Sanders (defended by Rasul Douglas),2.290,1.620
1,10:44,3,17,PHI 34,0,0,Brock Osweiler pass incomplete short right intended for Emmanuel Sanders (defended by Patrick Robinson),1.620,1.060
1,10:40,4,17,PHI 34,3,0,Brandon McManus 52 yard field goal good,1.060,3.000
1,10:35,,,DEN 35,3,0,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
1,10:35,1,10,PHI 25,3,0,Carson Wentz pass incomplete short right intended for Brent Celek (defended by Brandon Marshall),0.610,0.060
1,10:32,2,10,PHI 25,3,0,LeGarrette Blount middle for 1 yard (tackle by Domata Peko),0.060,-0.490
1,9:45,3,9,PHI 26,3,0,Carson Wentz pass complete short middle to Trey Burton for 14 yards (tackle by Bradley Roby),-0.490,1.600
1,9:06,1,10,PHI 40,3,0,Carson Wentz pass complete short left to Brent Celek for 9 yards (tackle by Zaire Anderson),1.600,2.270
1,8:24,2,1,PHI 49,3,0,"Penalty on Shane Ray: Neutral Zone Infraction, 5 yards (no play)",2.270,2.520
1,8:10,1,10,DEN 46,3,0,Corey Clement right end for 4 yards (tackle by Shelby Harris),2.520,2.520
1,7:32,2,6,DEN 42,3,0,LeGarrette Blount right guard for 5 yards (tackle by Zaire Anderson),2.520,2.480
1,6:46,3,1,DEN 37,3,0,"Carson Wentz pass incomplete deep right intended for Torrey Smith. Penalty on Aqib Talib: Defensive Holding, 5 yards (no play)",2.480,3.450
1,6:40,1,10,DEN 32,3,6,"Carson Wentz pass complete deep right to Alshon Jeffery for 32 yards, touchdown",3.450,7.000
1,6:34,,,DEN 15,3,7,Jake Elliott kicks extra point good,0.000,0.000
1,6:34,,,PHI 35,3,7,"Jake Elliott kicks off 67 yards, returned by Devontae Booker for 19 yards (tackle by Rodney McLeod). Penalty on Kevin Snyder: Illegal Block Above the Waist, 9 yards",0.000,0.380
1,6:25,1,10,DEN 8,3,7,"C.J. Anderson middle for no gain (tackle by Malcolm Jenkins). Penalty on Timmy Jernigan: Defensive Offside, 5 yards (no play)",-0.380,-0.070
1,6:10,1,5,DEN 13,3,7,C.J. Anderson left tackle for -2 yards (tackle by Vinny Curry),-0.070,-0.560
1,5:49,2,7,DEN 11,3,7,Jamaal Charles left end for -1 yards (tackle by Brandon Graham),-0.560,-1.190
1,5:11,3,8,DEN 10,3,7,"Penalty on Garett Bolles: False Start, 5 yards (no play)",-1.190,-1.770
1,4:52,3,13,DEN 5,3,7,Brock Osweiler pass complete short left to Jamaal Charles for 5 yards (tackle by Chris Long),-1.770,-2.490
1,4:15,4,8,DEN 10,3,7,"Riley Dixon punts 48 yards, returned by Kenjon Barner for 2 yards (tackle by Justin Simmons)",-2.490,-1.860
1,4:07,1,10,PHI 44,3,7,Carson Wentz pass complete short right to Torrey Smith for 11 yards (tackle by Aqib Talib),1.860,2.590
1,3:34,1,10,DEN 45,3,7,Carson Wentz pass complete short right to Brent Celek for 15 yards (tackle by Brandon Marshall),2.590,3.580
1,2:52,1,10,DEN 30,3,7,Carson Wentz pass incomplete deep right intended for Trey Burton,3.580,3.030
1,2:47,2,10,DEN 30,3,7,LeGarrette Blount right tackle for 3 yards (tackle by Von Miller),3.030,2.740
1,2:04,3,7,DEN 27,3,7,Carson Wentz pass incomplete short left intended for Alshon Jeffery (defended by Bradley Roby),2.740,1.670
1,1:58,4,7,DEN 27,3,10,Jake Elliott 45 yard field goal good,1.670,3.000
1,1:53,,,PHI 35,3,10,"Jake Elliott kicks off 65 yards, touchback",0.000,-0.610
1,1:53,1,10,DEN 25,3,10,Brock Osweiler pass incomplete short left intended for Demaryius Thomas is intercepted by Patrick Robinson at DEN-32 and returned for 17 yards,0.610,-4.580
1,1:44,1,10,DEN 15,3,10,Carson Wentz pass incomplete short right intended for Trey Burton,4.580,3.950
1,1:41,2,10,DEN 15,3,10,Corey Clement middle for no gain (tackle by Will Parks),3.950,3.100
1,0:59,3,10,DEN 15,3,16,"Carson Wentz pass complete short right to Corey Clement for 15 yards, touchdown",3.100,7.000
1,0:53,,,DEN 15,3,17,Jake Elliott kicks extra point good,0.000,0.000
1,0:53,,,PHI 35,3,17,"Jake Elliott kicks off 61 yards, returned by Devontae Booker for 25 yards (tackle by Nathan Gerry)",0.000,-0.870
1,0:47,1,10,DEN 29,3,17,Devontae Booker right tackle for 9 yards (tackle by Destiny Vaeao),0.870,1.540
1,0:04,2,1,DEN 38,3,17,Devontae Booker left end for -1 yards (tackle by Beau Allen),1.540,0.700
Quarter,Time,Down,ToGo,Location,DEN,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,DEN 37,3,17,"C.J. Anderson right end for 6 yards (tackle by Mychal Kendricks). Penalty on Ronald Leary: Offensive Holding, 10 yards (no play)",0.700,-0.630
2,14:33,3,12,DEN 27,3,17,Brock Osweiler pass incomplete deep middle intended for Isaiah McKenzie (defended by Corey Graham),-0.630,-1.570
2,14:26,4,12,DEN 27,3,17,"Riley Dixon punts 55 yards, returned by Kenjon Barner for 7 yards (tackle by Cody Latimer)",-1.570,-0.610
2,14:16,1,10,PHI 25,3,17,Jay Ajayi left tackle for 6 yards (tackle by Von Miller),0.610,0.870
2,13:35,2,4,PHI 31,3,17,Jay Ajayi right end for 1 yard (tackle by Von Miller),0.870,0.300
2,12:52,3,3,PHI 32,3,17,LeGarrette Blount right tackle for 2 yards (tackle by Brandon Marshall),0.300,-1.110
2,12:21,4,1,PHI 34,3,17,"Donnie Jones punts 53 yards, returned by Isaiah McKenzie for 44 yards (tackle by Corey Graham)",-1.110,-2.720
2,12:05,1,10,PHI 43,3,17,Brock Osweiler pass incomplete deep right intended for Demaryius Thomas,2.720,2.180
2,12:00,2,10,PHI 43,3,17,Brock Osweiler pass complete short left to Demaryius Thomas for 8 yards (tackle by Patrick Robinson),2.180,2.540
2,11:18,3,2,PHI 35,3,17,Brock Osweiler pass incomplete short left intended for Emmanuel Sanders (defended by Malcolm Jenkins),2.540,0.990
2,11:10,4,2,PHI 35,6,17,Brandon McManus 53 yard field goal good,0.990,3.000
2,11:05,,,DEN 35,6,17,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.610
2,11:05,1,10,PHI 25,6,17,Carson Wentz pass incomplete short right intended for Nelson Agholor (defended by Shelby Harris),0.610,0.060
2,11:02,2,10,PHI 25,6,17,Carson Wentz pass incomplete short left intended for Alshon Jeffery (defended by Chris Harris),0.060,-0.620
2,10:57,3,10,PHI 25,6,17,"Penalty on Shane Ray: Neutral Zone Infraction, 5 yards (no play)",-0.620,0.040
2,10:57,3,5,PHI 30,6,17,Carson Wentz pass complete short left to Alshon Jeffery for 14 yards (tackle by Bradley Roby). Penalty on Bradley Roby: Defensive Holding (Declined),0.040,1.860
2,10:44,1,10,PHI 44,6,17,Corey Clement middle for -1 yards (tackle by Will Parks and Derek Wolfe),1.860,1.180
2,10:01,2,11,PHI 43,6,17,Carson Wentz pass complete short right to Brent Celek for 15 yards (tackle by Shaquil Barrett),1.180,2.790
2,9:26,1,10,DEN 42,6,17,"Carson Wentz pass incomplete. Penalty on Zach Kerr: Roughing the Passer, 15 yards, Penalty on Darian Stewart: Unsportsmanlike Conduct (Declined) (no play)",2.790,3.780
2,9:21,1,10,DEN 27,6,23,"Carson Wentz pass complete deep left to Trey Burton for 27 yards, touchdown",3.780,7.000
2,9:15,,,DEN 15,6,24,Jake Elliott kicks extra point good,0.000,0.000
2,9:15,,,PHI 35,6,24,"Jake Elliott kicks off 65 yards, touchback",0.000,-0.610
2,9:15,1,10,DEN 25,6,24,Jamaal Charles right end for no gain (tackle by Brandon Graham),0.610,0.060
2,8:40,2,10,DEN 25,6,24,Brock Osweiler pass complete short right to Demaryius Thomas for 10 yards (tackle by Rodney McLeod and Mychal Kendricks),0.060,1.270
2,8:02,1,10,DEN 35,6,24,Devontae Booker middle for 4 yards (tackle by Brandon Graham and Malcolm Jenkins),1.270,1.260
2,7:20,2,6,DEN 39,6,24,Brock Osweiler pass complete short right to Demaryius Thomas for 10 yards (tackle by Malcolm Jenkins),1.260,2.190
2,6:37,1,10,DEN 49,6,24,Brock Osweiler pass complete deep left to Emmanuel Sanders for 30 yards (tackle by Joe Walker),2.190,4.170
2,5:54,1,10,PHI 21,6,24,Devontae Booker left guard for 4 yards (tackle by Derek Barnett),4.170,4.200
2,5:17,2,6,PHI 17,6,24,Brock Osweiler pass incomplete deep left intended for A.J. Derby,4.200,3.460
2,5:12,3,6,PHI 17,6,24,Brock Osweiler pass complete short right to Demaryius Thomas for 12 yards (tackle by Nigel Bradham),3.460,6.060
2,4:33,1,5,PHI 5,6,24,C.J. Anderson middle for 1 yard (tackle by Brandon Graham),6.060,5.340
2,3:53,2,4,PHI 4,6,24,C.J. Anderson left end for -2 yards (tackle by Jaylen Watkins),5.340,4.040
2,3:10,3,6,PHI 6,6,24,Brock Osweiler pass incomplete short right intended for Emmanuel Sanders,4.040,2.990
