Unnamed: 0,PHI,NOR
First Downs,14,27
Rush-Yds-TDs,20-123-2,37-208-2
Cmp-Att-Yd-TD-INT,15-30-240-1-0,20-32-243-1-0
Sacked-Yards,1-8,3-16
Net Pass Yards,232,227
Total Yards,355,435
Fumbles-Lost,1-0,2-1
Turnovers,0,1
Penalties-Yards,6-39,3-35
Third Down Conv.,5-13,6-13
Fourth Down Conv.,0-0,1-1
Time of Possession,24:36,35:24
