Unnamed: 0,NOR,TAM
First Downs,18,14
Rush-Yds-TDs,23-71-0,26-149-0
Cmp-Att-Yd-TD-INT,25-37-265-1-2,12-25-143-2-0
Sacked-Yards,4-30,1-7
Net Pass Yards,235,136
Total Yards,306,285
Fumbles-Lost,1-1,2-0
Turnovers,3,0
Penalties-Yards,7-53,10-107
Third Down Conv.,4-11,6-14
Fourth Down Conv.,0-2,0-0
Time of Possession,33:45,26:15
