Quarter,Time,Tm,Detail,PHI,DET
1.0,10:18,Lions,Jamaal Williams 1 yard rush (Austin Seibert kick),0,7
2.0,12:56,Eagles,Jalen Hurts 1 yard rush (Jake Elliott kick),7,7
,7:34,Eagles,Miles Sanders 1 yard rush (Jake Elliott kick),14,7
,6:26,Eagles,James Bradberry 27 yard interception return (Jake Elliott kick),21,7
,1:55,Lions,D'Andre Swift 7 yard rush (Austin Seibert kick),21,14
,0:06,Eagles,Jake Elliott 23 yard field goal,24,14
3.0,10:21,Eagles,Kenneth Gainwell 2 yard rush (Jake Elliott kick),31,14
,4:09,Lions,Amon-Ra St. Brown 4 yard pass from Jared Goff (Austin Seibert kick),31,21
,1:41,Eagles,Boston Scott 1 yard rush (Jake Elliott kick),38,21
4.0,14:16,Lions,Jamaal Williams 1 yard rush (Austin Seibert kick),38,28
,3:51,Lions,DJ Chark 22 yard pass from Jared Goff (Austin Seibert kick),38,35
