Unnamed: 0,PHI,DET
First Downs,27,23
Rush-Yds-TDs,39-216-4,28-181-3
Cmp-Att-Yd-TD-INT,18-32-243-0-0,21-37-215-2-1
Sacked-Yards,1-4,1-10
Net Pass Yards,239,205
Total Yards,455,386
Fumbles-Lost,0-0,1-0
Turnovers,0,1
Penalties-Yards,10-61,7-65
Third Down Conv.,10-17,9-14
Fourth Down Conv.,2-3,1-1
Time of Possession,31:34,28:26
