Quarter,Time,Tm,Detail,SEA,DAL
2.0,14:11,Cowboys,Dan Bailey 34 yard field goal,0,3
,5:48,Cowboys,Dan Bailey 51 yard field goal,0,6
,1:38,Seahawks,Jimmy Graham 3 yard pass from Russell Wilson (Blair Walsh kick),7,6
,0:03,Cowboys,Dan Bailey 51 yard field goal,7,9
3.0,11:19,Seahawks,Justin Coleman 30 yard interception return (Blair Walsh kick),14,9
,8:36,Cowboys,Dan Bailey 39 yard field goal,14,12
4.0,11:59,Seahawks,Doug Baldwin 6 yard pass from Russell Wilson (Blair Walsh kick),21,12
