Quarter,Time,Down,ToGo,Location,SEA,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss, Cowboys to receive the opening kickoff.",,
1,15:00,,,SEA 35,0,0,"Blair Walsh kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,DAL 25,0,0,Ezekiel Elliott right tackle for 2 yards (tackle by Sheldon Richardson),0.610,0.330
1,14:26,2,8,DAL 27,0,0,Dak Prescott pass incomplete short middle intended for Dez Bryant,0.330,-0.360
1,14:22,3,8,DAL 27,0,0,Dak Prescott pass incomplete short middle intended for Jason Witten,-0.360,-1.570
1,14:17,4,8,DAL 27,0,0,"Chris Jones punts 51 yards, returned by Tyler Lockett for 9 yards (tackle by Jeff Heath)",-1.570,-1.000
1,14:06,1,10,SEA 31,0,0,Russell Wilson pass complete short right to Doug Baldwin for 7 yards (tackle by Sean Lee),1.000,1.410
1,13:36,2,3,SEA 38,0,0,Russell Wilson left end for 6 yards (tackle by Tyrone Crawford),1.410,1.860
1,13:04,1,10,SEA 44,0,0,Mike Davis left tackle for 2 yards (tackle by Demarcus Lawrence),1.860,1.590
1,12:30,2,8,SEA 46,0,0,Russell Wilson pass incomplete deep right intended for Doug Baldwin,1.590,0.890
1,12:21,3,8,SEA 46,0,0,Russell Wilson pass complete short right to Paul Richardson for 11 yards (tackle by Chidobe Awuzie),0.890,2.720
1,11:38,1,10,DAL 43,0,0,Russell Wilson sacked by Taco Charlton for -4 yards,2.720,1.640
1,10:54,2,14,DAL 47,0,0,Russell Wilson pass incomplete short left intended for Doug Baldwin,1.640,0.960
1,10:47,3,14,DAL 47,0,0,Russell Wilson pass incomplete short middle intended for Tyler Lockett,0.960,0.130
1,10:41,4,14,DAL 47,0,0,Jon Ryan punts 40 yards,0.130,0.380
1,10:35,1,10,DAL 7,0,0,Ezekiel Elliott right tackle for 5 yards (tackle by Bradley McDougald),-0.380,-0.420
1,10:04,2,5,DAL 12,0,0,Ezekiel Elliott right end for 6 yards (tackle by Bobby Wagner),-0.420,0.040
1,9:22,1,10,DAL 18,0,0,Dak Prescott pass incomplete short right intended for Noah Brown,0.040,-0.490
1,9:16,2,10,DAL 18,0,0,Dak Prescott right tackle for 3 yards (tackle by Bobby Wagner and Earl Thomas),-0.490,-0.790
1,8:36,3,7,DAL 21,0,0,Dak Prescott pass complete short right to Terrance Williams for 11 yards (tackle by Earl Thomas),-0.790,1.070
1,8:01,1,10,DAL 32,0,0,Ezekiel Elliott left tackle for 3 yards (tackle by Dion Jordan),1.070,0.930
1,7:33,2,7,DAL 35,0,0,Dak Prescott pass complete short middle to Terrance Williams for 11 yards (tackle by Shaquill Griffin),0.930,1.990
1,6:55,1,10,DAL 46,0,0,Ezekiel Elliott left tackle for 4 yards (tackle by Earl Thomas and Marcus Smith),1.990,1.990
1,6:26,2,6,,0,0,Dak Prescott pass incomplete short right intended for Noah Brown (defended by Byron Maxwell),1.990,1.290
1,6:21,3,6,,0,0,Dak Prescott pass incomplete deep left intended for Dez Bryant,1.290,-0.060
1,6:16,4,6,,0,0,Chris Jones punts 49 yards,-0.060,0.380
1,6:06,1,10,SEA 1,0,0,Mike Davis left tackle for no gain (tackle by Jourdan Lewis),-0.380,-0.780
1,5:25,2,10,SEA 1,0,0,Russell Wilson pass incomplete deep left intended for Paul Richardson,-0.780,-1.420
1,5:18,3,10,SEA 1,0,0,Russell Wilson pass incomplete deep right intended for Paul Richardson,-1.420,-2.490
1,5:12,4,10,SEA 1,0,0,"Jon Ryan punts 53 yards, returned by Ryan Switzer for 6 yards (tackle by Jeremy Lane). Penalty on Keith Smith: Illegal Block Above the Waist, 10 yards",-2.490,-1.730
1,5:01,1,10,DAL 42,0,0,Ezekiel Elliott left tackle for 5 yards (tackle by Bobby Wagner and Michael Bennett),1.730,1.860
1,4:26,2,5,DAL 47,0,0,Ezekiel Elliott right tackle for 6 yards (tackle by Garrison Smith),1.860,2.460
1,3:45,1,10,SEA 47,0,0,Ezekiel Elliott right end for 6 yards (tackle by Garrison Smith),2.460,2.720
1,3:04,2,4,SEA 41,0,0,Dak Prescott pass complete short right to Rod Smith for 5 yards (tackle by K.J. Wright),2.720,3.180
1,2:24,1,10,SEA 36,0,0,Ezekiel Elliott right end for 5 yards (tackle by Sheldon Richardson),3.180,3.310
1,1:42,2,5,SEA 31,0,0,Dak Prescott for 4 yards (tackle by Bobby Wagner),3.310,3.140
1,1:12,3,1,SEA 27,0,0,Ezekiel Elliott right guard for 4 yards (tackle by Jarran Reed and Earl Thomas),3.140,0.000
1,0:35,,,,,,Timeout #1 by Seattle Seahawks,0.000,-4.040
1,0:35,1,10,SEA 23,0,0,Ezekiel Elliott right end for 5 yards (tackle by Sheldon Richardson and Earl Thomas),4.040,4.210
Quarter,Time,Down,ToGo,Location,SEA,DAL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,5,SEA 18,0,0,Dak Prescott pass complete short left to Ezekiel Elliott for 2 yards (tackle by Bradley McDougald),4.210,3.850
2,14:22,3,3,SEA 16,0,0,Dak Prescott pass incomplete short left intended for Jason Witten,3.850,2.480
2,14:16,4,3,SEA 16,0,3,Dan Bailey 34 yard field goal good,2.480,3.000
2,14:11,,,DAL 35,0,3,"Dan Bailey kicks off 65 yards, touchback",0.000,-0.610
2,14:11,1,10,SEA 25,0,3,Mike Davis right tackle for 8 yards (tackle by Daniel Ross),0.610,1.140
2,13:44,2,2,SEA 33,0,3,Mike Davis left tackle for 6 yards (tackle by Maliek Collins and Sean Lee),1.140,1.530
2,13:15,1,10,SEA 39,0,3,Russell Wilson pass complete short right to Doug Baldwin for 2 yards (tackle by Taco Charlton),1.530,1.260
2,12:42,2,8,SEA 41,0,3,Mike Davis middle for -3 yards (tackle by Benson Mayowa),1.260,0.170
2,11:59,3,11,SEA 38,0,3,Russell Wilson sacked by Benson Mayowa for -7 yards,0.170,-1.310
2,11:22,4,18,SEA 31,0,3,"Jon Ryan punts 42 yards, returned by Ryan Switzer for 10 yards (tackle by Jeremy Lane)",-1.310,-1.400
2,11:12,1,10,DAL 37,0,3,Ezekiel Elliott left guard for 9 yards (tackle by Michael Bennett),1.400,2.070
2,10:36,2,1,DAL 46,0,3,Ezekiel Elliott middle for 4 yards (tackle by Branden Jackson),2.070,2.260
2,9:59,1,10,,0,3,Ezekiel Elliott right tackle for 6 yards (tackle by Michael Wilhoite and Earl Thomas),2.260,2.520
2,9:20,2,4,SEA 44,0,3,Rod Smith left end for 5 yards (tackle by Earl Thomas),2.520,2.980
2,8:35,1,10,SEA 39,0,3,"Dak Prescott pass complete short right to Keith Smith for no gain. Penalty on Shaquill Griffin: Defensive Holding, 5 yards (no play)",2.980,3.310
2,8:10,1,10,SEA 34,0,3,Rod Smith middle for 5 yards (tackle by Earl Thomas),3.310,3.450
2,7:32,2,5,SEA 29,0,3,Ezekiel Elliott middle for 3 yards (tackle by Frank Clark and Shaquill Griffin),3.450,3.140
