Unnamed: 0,SEA,DAL
First Downs,15,21
Rush-Yds-TDs,30-76-0,30-128-0
Cmp-Att-Yd-TD-INT,14-21-93-2-0,21-34-181-0-2
Sacked-Yards,3-33,4-27
Net Pass Yards,60,154
Total Yards,136,282
Fumbles-Lost,1-0,1-1
Turnovers,0,3
Penalties-Yards,11-142,7-75
Third Down Conv.,4-11,6-13
Fourth Down Conv.,0-0,1-1
Time of Possession,27:10,32:50
