Quarter,Time,Down,ToGo,Location,CLE,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,
1,15:00,,,CLE 30,0,0,"Phil Dawson kicks off 68 yards, returned by Ellis Hobbs for 18 yards (tackle by Jason Wright)",0.000,0.280
1,14:55,1,10,NWE 20,0,0,Sammy Morris right tackle for 3 yards (tackle by Kamerion Wimbley and Willie McGinest),0.280,0.140
1,14:24,2,7,NWE 23,0,0,"Penalty on Randy Moss: False Start, 5 yards (no play)",0.140,-0.630
1,14:09,2,12,NWE 18,0,0,Tom Brady pass complete short right to Kyle Brady for 7 yards (tackle by Orpheus Roye),-0.630,-0.300
1,13:31,3,5,NWE 25,0,0,Tom Brady pass complete short right to Randy Moss for 16 yards (tackle by D'Qwell Jackson),-0.300,1.660
1,13:03,1,10,NWE 41,0,0,Sammy Morris up the middle for 8 yards (tackle by Leon Williams),1.660,2.200
1,12:39,2,2,NWE 49,0,0,Sammy Morris left guard for 5 yards (tackle by Robaire Smith and Willie McGinest),2.200,2.520
1,11:56,1,10,CLE 46,0,0,Tom Brady pass complete short middle to Wes Welker for 7 yards (tackle by Leigh Bodden),2.520,2.920
1,11:26,2,3,CLE 39,0,0,Sammy Morris left guard for 4 yards (tackle by Leon Williams and Brodney Pool),2.920,3.250
1,10:47,1,10,CLE 35,0,0,Tom Brady pass complete deep right to Randy Moss for 20 yards (tackle by Eric Wright),3.250,4.580
1,10:22,1,10,CLE 15,0,0,"Penalty on Willie McGinest: Encroachment, 5 yards (no play)",4.580,5.740
1,10:17,1,5,CLE 10,0,0,Kevin Faulk right tackle for no gain (tackle by D'Qwell Jackson),5.740,4.840
1,9:40,2,5,CLE 10,0,0,Tom Brady pass complete short left to Donte Stallworth for 7 yards (tackle by Daven Holly),4.840,6.510
1,8:56,1,3,CLE 3,0,0,Tom Brady pass incomplete short left intended for Donte Stallworth (defended by Sean Jones),6.510,5.530
1,8:54,2,3,CLE 3,0,0,Sammy Morris right guard for 1 yard (tackle by Andra Davis and Simon Fraser),5.530,4.950
1,8:10,3,2,CLE 2,0,0,Tom Brady pass incomplete short right intended for Jabar Gaffney (defended by Eric Wright),4.950,3.250
1,8:06,4,2,CLE 2,0,3,Stephen Gostkowski 20 yard field goal good,3.250,3.000
1,,,,NWE 30,0,3,"Stephen Gostkowski kicks off 67 yards, returned by Josh Cribbs for 31 yards (tackle by Mel Mitchell)",0.000,1.200
1,7:54,1,10,CLE 34,0,3,Jamal Lewis left tackle for 11 yards (tackle by Eugene Wilson and Ellis Hobbs),1.200,1.930
1,7:17,1,10,CLE 45,0,3,Derek Anderson pass complete short right to Lawrence Vickers for 3 yards (tackle by Eugene Wilson),1.930,1.790
1,6:46,2,7,CLE 48,0,3,Jason Wright up the middle for 3 yards (tackle by Adalius Thomas and Mike Vrabel),1.790,1.490
1,6:07,3,4,NWE 49,0,3,Derek Anderson pass complete short left to Joe Jurevicius for 17 yards (tackle by Eugene Wilson),1.490,3.450
1,5:26,1,10,NWE 32,0,3,Derek Anderson pass complete short left to Braylon Edwards for 20 yards (tackle by Eugene Wilson),3.450,4.780
1,5:00,1,10,NWE 12,0,3,Jason Wright for 11 yards,4.780,6.970
1,5:00,1,1,NWE 1,0,3,Derek Anderson pass incomplete short left intended for Joe Jurevicius,6.970,5.910
1,4:35,2,1,NWE 1,0,3,Jason Wright up the middle for no gain (tackle by Adalius Thomas and Junior Seau),5.910,5.170
1,3:52,3,1,NWE 1,0,3,Derek Anderson pass incomplete short right intended for Steve Heiden is intercepted by Junior Seau,5.170,-0.280
1,3:44,1,10,NWE 20,0,3,Sammy Morris up the middle for 3 yards (tackle by D'Qwell Jackson),0.280,0.140
1,3:12,2,7,NWE 23,0,3,Tom Brady pass incomplete short left intended for Donte Stallworth,0.140,-0.560
1,3:08,3,7,NWE 23,0,3,Tom Brady pass incomplete deep right intended for Randy Moss,-0.560,-1.830
1,3:02,4,7,NWE 23,0,3,"Chris Hanson punts 45 yards, fair catch by Josh Cribbs",-1.830,-1.070
1,2:54,1,10,CLE 32,0,3,Derek Anderson pass incomplete short right intended for Joe Jurevicius is intercepted by Asante Samuel at CLE-40 and returned for 6 yards (tackle by Kellen Winslow Jr.),1.070,-3.310
1,2:44,1,10,CLE 34,0,9,"Tom Brady pass complete short left to Donte Stallworth for 34 yards, touchdown",3.310,7.000
1,,,,CLE 2,0,10,Stephen Gostkowski kicks extra point good,0.000,0.000
1,,,,NWE 30,0,10,"Stephen Gostkowski kicks off 68 yards, returned by Josh Cribbs for 23 yards (tackle by Mel Mitchell)",0.000,0.610
1,2:27,1,10,CLE 25,0,10,Jason Wright left tackle for 2 yards (tackle by Adalius Thomas and James Sanders),0.610,0.330
1,1:48,2,8,CLE 27,0,10,Derek Anderson pass complete short left to Braylon Edwards for 12 yards (tackle by Tedy Bruschi),0.330,1.530
1,1:07,1,10,CLE 39,0,10,Jason Wright up the middle for 5 yards (tackle by Rosevelt Colvin and Tedy Bruschi),1.530,1.660
1,0:29,2,5,CLE 44,0,10,Derek Anderson pass incomplete deep middle intended for Tim Carter,1.660,0.960
1,0:23,3,5,CLE 44,0,10,Derek Anderson pass incomplete short left intended for Braylon Edwards,0.960,-0.460
1,0:20,4,5,CLE 44,0,10,"Scott Player punts 44 yards, returned by Wes Welker for 12 yards (tackle by Kris Griffin)",-0.460,-0.540
1,0:09,1,10,NWE 24,0,10,Sammy Morris right tackle for 10 yards (tackle by Sean Jones),0.540,1.200
Quarter,Time,Down,ToGo,Location,CLE,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NWE 34,0,10,Sammy Morris up the middle for 7 yards (tackle by Robaire Smith and D'Qwell Jackson),1.200,1.600
2,14:27,2,3,NWE 41,0,10,Sammy Morris right tackle for 1 yard (tackle by Robaire Smith and Sean Jones),1.600,1.030
2,13:43,3,2,NWE 42,0,10,Tom Brady pass complete short left to Kevin Faulk for 7 yards (tackle by D'Qwell Jackson),1.030,2.190
2,13:23,1,10,NWE 49,0,10,Kevin Faulk left guard for 5 yards (tackle by D'Qwell Jackson),2.190,2.320
2,12:45,2,5,CLE 46,0,10,Kevin Faulk right guard for 1 yard (tackle by D'Qwell Jackson and Sean Jones),2.320,1.750
2,12:01,3,4,CLE 45,0,10,Tom Brady pass incomplete short left intended for Donte Stallworth,1.750,0.270
2,11:56,4,4,CLE 45,0,10,"Chris Hanson punts 33 yards, fair catch by Josh Cribbs",0.270,0.350
2,11:49,1,10,CLE 12,0,10,"Penalty on Seth McKinney: False Start, 5 yards (no play)",-0.350,-0.570
2,11:49,1,15,CLE 7,0,10,Jason Wright left end for 1 yard (tackle by Ellis Hobbs and Jarvis Green),-0.570,-1.070
2,11:07,2,14,CLE 8,0,10,Derek Anderson pass complete short right to Steve Heiden for 7 yards (tackle by Rodney Harrison),-1.070,-1.070
2,10:40,3,7,CLE 15,0,10,Derek Anderson pass incomplete short left intended for Kellen Winslow Jr.,-1.070,-2.440
2,10:36,4,7,CLE 15,0,10,Scott Player punts 36 yards,-2.440,-2.190
2,10:29,1,10,NWE 49,0,10,Donte Stallworth left end for 12 yards (tackle by Leigh Bodden),2.190,2.980
2,9:56,1,10,CLE 39,0,10,Tom Brady pass complete short right to Wes Welker for 7 yards (tackle by Kamerion Wimbley),2.980,3.390
2,9:20,2,3,CLE 32,0,10,Sammy Morris up the middle for 6 yards (tackle by Leon Williams),3.390,3.840
2,8:42,1,10,CLE 26,0,10,Tom Brady pass complete deep left to Donte Stallworth for 17 yards (tackle by Daven Holly),3.840,5.140
2,8:07,1,9,CLE 9,0,10,Tom Brady pass complete short right to Wes Welker for 3 yards (tackle by Leigh Bodden),5.140,4.950
2,7:38,,,,0,10,Timeout #1 by New England Patriots,0.000,4.950
2,7:37,2,6,CLE 6,0,10,Sammy Morris right guard for 2 yards (tackle by Shaun Smith),4.950,4.490
2,6:53,3,4,CLE 4,0,10,Sammy Morris up the middle for -3 yards (tackle by Robaire Smith),4.490,2.970
2,6:16,4,7,CLE 7,0,13,Stephen Gostkowski 25 yard field goal good,2.970,3.000
2,,,,NWE 30,0,13,"Stephen Gostkowski kicks off 66 yards, returned by Josh Cribbs for 16 yards (tackle by Kelley Washington). Penalty on D'Qwell Jackson: Offensive Holding, 10 yards",0.000,-0.380
2,6:08,1,10,CLE 10,0,13,Jason Wright up the middle for 5 yards (tackle by Mike Vrabel and Adalius Thomas),-0.380,-0.350
2,5:30,2,5,CLE 15,0,13,Derek Anderson pass complete short right to Lawrence Vickers for 5 yards (tackle by Adalius Thomas),-0.350,0.280
2,4:56,1,10,CLE 20,0,13,Jason Wright left end for 6 yards (tackle by Vince Wilfork),0.280,0.540
2,4:20,2,4,CLE 26,0,13,Jason Wright up the middle for 7 yards (tackle by James Sanders and Rosevelt Colvin),0.540,1.140
2,3:40,1,10,CLE 33,0,13,Jason Wright up the middle for 5 yards (tackle by Junior Seau),1.140,1.270
2,3:07,2,5,CLE 38,0,13,Jason Wright up the middle for 4 yards (tackle by Vince Wilfork and Junior Seau),1.270,1.090
2,2:26,3,1,CLE 42,0,13,Lawrence Vickers up the middle for 4 yards (tackle by Junior Seau),1.090,1.990
2,2:00,1,10,CLE 46,0,13,"Penalty on Braylon Edwards: False Start, 5 yards (no play)",1.990,1.660
2,2:00,1,15,CLE 41,0,13,Derek Anderson pass incomplete short middle intended for Jason Wright is intercepted by Junior Seau at CLE-48 and returned for 23 yards (tackle by Kellen Winslow Jr.),1.660,-3.910
