Quarter,Time,Tm,Detail,CLE,NWE
1.0,8:01,Patriots,Stephen Gostkowski 20 yard field goal,0,3
,2:33,Patriots,Donte' Stallworth 34 yard pass from Tom Brady (Stephen Gostkowski kick),0,10
2.0,6:12,Patriots,Stephen Gostkowski 25 yard field goal,0,13
,1:01,Patriots,Ben Watson 7 yard pass from Tom Brady (Stephen Gostkowski kick),0,20
3.0,7:32,Browns,Phil Dawson 42 yard field goal,3,20
4.0,14:10,Browns,Tim Carter 21 yard pass from Derek Anderson (Phil Dawson kick),10,20
,9:40,Patriots,Ben Watson 25 yard pass from Tom Brady (Stephen Gostkowski kick),10,27
,5:56,Browns,Kellen Winslow 14 yard pass from Derek Anderson (Phil Dawson kick),17,27
,0:42,Patriots,Randall Gay 15 yard defensive fumble return (Stephen Gostkowski kick),17,34
