Player,Pos
Tom Brady,QB
Sammy Morris,RB
Randy Moss,WR
Wes Welker,WR
Donte' Stallworth,WR
Kyle Brady,TE
Matt Light,LT
Logan Mankins,LG
Russ Hochstein,C
Steve Neal,RG
Nick Kaczur,RT
Ty Warren,LDE
Vince Wilfork,NT
Jarvis Green,RDE
Rosevelt Colvin,OLB
Mike Vrabel,OLB
Tedy Bruschi,ILB
Adalius Thomas,ILB
Asante Samuel,LCB
Ellis Hobbs,RCB
James Sanders,SS
Eugene Wilson,FS
