Unnamed: 0,CLE,NWE
First Downs,22,23
Rush-Yds-TDs,21-92-0,32-147-0
Cmp-Att-Yd-TD-INT,22-43-287-2-3,22-38-265-3-0
Sacked-Yards,3-26,0-0
Net Pass Yards,261,265
Total Yards,353,412
Fumbles-Lost,1-1,0-0
Turnovers,4,0
Penalties-Yards,7-40,6-52
Third Down Conv.,3-11,2-12
Fourth Down Conv.,0-1,1-2
Time of Possession,27:33,32:27
