Unnamed: 0,DEN,IND
First Downs,20,23
Rush-Yds-TDs,26-146-0,23-85-0
Cmp-Att-Yd-TD-INT,23-30-181-1-2,26-31-394-5-0
Sacked-Yards,2-5,0-0
Net Pass Yards,176,394
Total Yards,322,479
Fumbles-Lost,2-1,3-1
Turnovers,3,1
Penalties-Yards,5-55,5-40
Third Down Conv.,4-11,6-8
Fourth Down Conv.,2-2,0-1
Time of Possession,34:38,25:22
