Quarter,Time,Down,ToGo,Location,DEN,IND,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,DEN 30,0,0,"Micah Knorr kicks off 58 yards, returned by Ricky Williams for 18 yards (tackle by Johnny Rutledge)",0.000,0.940
1,14:55,1,10,IND 30,0,0,Peyton Manning pass complete to Edgerrin James for 4 yards (tackle by Donnie Spragan),0.940,0.930
1,14:24,2,6,IND 34,0,0,Edgerrin James left tackle for 10 yards (tackle by Sam Brandon and Kenoy Kennedy),0.930,1.860
1,13:51,1,10,IND 44,0,0,Peyton Manning pass complete to Edgerrin James for 11 yards (tackle by Al Wilson),1.860,2.590
1,13:12,1,10,DEN 45,0,0,Edgerrin James right tackle for 1 yard (tackle by Sam Brandon),2.590,2.180
1,12:35,2,9,DEN 44,0,0,Peyton Manning pass complete to Edgerrin James for 13 yards (tackle by Lenny Walls),2.180,3.510
1,12:02,1,10,DEN 31,0,6,"Peyton Manning pass complete to Brandon Stokley for 31 yards, touchdown",3.510,7.000
1,,,,DEN 2,0,7,Mike Vanderjagt kicks extra point good,0.000,0.000
1,,,,IND 30,0,7,"Mike Vanderjagt kicks off 68 yards, returned by Reuben Droughns for 21 yards (tackle by Keyon Whiteside)",,
1,11:51,1,10,DEN 23,0,7,"Clinton Portis right end for 9 yards (tackle by Walt Harris). Clinton Portis fumbles (forced by Walt Harris), ball out of bounds at DEN-32",0.480,1.150
1,11:28,2,1,DEN 32,0,7,Quentin Griffin left tackle for 7 yards (tackle by Donald Strickland),1.150,1.530
1,10:48,1,10,DEN 39,0,7,Jake Plummer pass complete to Shannon Sharpe for 9 yards (tackle by Rob Morris),1.530,2.200
1,10:07,2,1,DEN 48,0,7,Clinton Portis up the middle for 3 yards (tackle by David Thornton),2.200,2.320
1,9:27,1,10,IND 49,0,7,Jake Plummer pass complete to Quentin Griffin for 7 yards (tackle by Idrees Bashir),2.320,2.730
1,8:44,2,3,IND 42,0,7,Clinton Portis left end for -2 yards (tackle by David Thornton),2.730,1.750
1,7:58,3,5,IND 44,0,7,Jake Plummer pass complete to Shannon Sharpe for 4 yards (tackle by David Thornton),1.750,0.590
1,6:57,4,1,IND 40,0,7,Jake Plummer up the middle for 1 yard (tackle by David Thornton and Raheem Brock),0.590,2.980
1,6:17,1,10,IND 39,0,7,Clinton Portis left tackle for no gain (tackle by Marcus Washington and Chad Bratzke),2.980,2.440
1,5:35,2,10,IND 39,0,7,"Clinton Portis left guard for no gain (tackle by Rob Morris). Penalty on Josh Williams: Defensive Offside, 5 yards (no play)",2.440,3.120
1,5:10,2,5,IND 34,0,7,Jake Plummer pass complete to Reuben Droughns for no gain,3.120,2.410
1,4:26,3,5,IND 34,0,7,Jake Plummer pass complete to Rod Smith for 4 yards (tackle by David Macklin),2.410,1.520
1,3:48,4,1,IND 30,3,7,Jason Elam 49 yard field goal good,1.520,3.000
1,,,,DEN 30,3,7,"Micah Knorr kicks off 57 yards, returned by Dominic Rhodes for 23 yards (tackle by Adrian Madise). Penalty on Jason Doering: Offensive Holding, 10 yards",0.000,0.150
1,3:36,1,10,IND 19,3,7,Edgerrin James right tackle for 4 yards (tackle by Sam Brandon),0.150,0.210
1,3:12,2,6,IND 23,3,7,Peyton Manning pass complete to Marvin Harrison for 12 yards (tackle by Sam Brandon),0.210,1.270
1,2:40,1,10,IND 35,3,7,Edgerrin James right end for 5 yards (tackle by Al Wilson),1.270,1.400
1,2:11,2,5,IND 40,3,7,Peyton Manning pass incomplete intended for Marvin Harrison,1.400,0.700
1,2:06,3,5,IND 40,3,7,Peyton Manning pass complete to Marvin Harrison for 12 yards (tackle by Kenoy Kennedy),0.700,2.390
1,1:30,1,10,DEN 48,3,7,"Peyton Manning for no gain. Peyton Manning fumbles, recovered by Peyton Manning at tm_-50",2.390,1.580
1,1:06,2,12,IND 50,3,7,Edgerrin James up the middle for 4 yards (tackle by Al Wilson and Jashon Sykes),1.580,1.420
1,0:36,3,8,DEN 46,3,13,"Peyton Manning pass complete to Marvin Harrison for 46 yards, touchdown",1.420,7.000
1,,,,DEN 2,3,14,Mike Vanderjagt kicks extra point good,0.000,0.000
1,,,,IND 30,3,14,"Mike Vanderjagt kicks off 66 yards, returned by Reuben Droughns for 33 yards (tackle by Cory Bird)",0.000,1.400
1,0:18,1,10,DEN 37,3,14,Jake Plummer pass complete to Reuben Droughns for 1 yard (tackle by Dwight Freeney),1.400,0.990
Quarter,Time,Down,ToGo,Location,DEN,IND,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,9,DEN 38,3,14,Jake Plummer pass complete to Rod Smith for 3 yards (tackle by Marcus Washington),0.990,0.700
2,14:19,3,6,DEN 41,3,14,"Jake Plummer up the middle for 10 yards (tackle by Nick Harper). Penalty on Montae Reagor: Defensive Offside (Declined), Penalty on Nick Harper: Personal Foul, 15 yards",0.700,3.310
2,13:52,1,10,IND 34,3,14,"Clinton Portis left end for 2 yards (tackle by David Macklin). Penalty on Dan Neil: Offensive Holding, 10 yards (no play)",3.310,2.650
2,13:27,1,20,IND 44,3,14,Jake Plummer pass complete to Reuben Droughns for 10 yards (tackle by Walt Harris),2.650,2.770
