#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,15:00,IND 20,3,1:15,2,Interception
2,1,12:18,IND 12,12,6:09,59,Field Goal
3,1,3:42,IND 38,5,1:09,32,Field Goal
4,2,13:13,IND 16,8,2:47,57,Field Goal
5,2,8:09,IND 17,3,1:25,1,Punt
6,2,2:07,IND 16,5,1:14,11,Punt
7,2,0:26,IND 36,5,0:26,45,Field Goal
8,3,7:29,IND 19,3,2:08,-14,Punt
9,3,3:47,TEN 32,4,1:14,1,Field Goal
10,3,1:13,TEN 48,3,0:40,6,Punt
11,4,11:32,IND 27,3,1:02,3,Punt
12,4,8:08,IND 8,11,6:12,92,Touchdown
13,4,0:24,IND 38,2,0:24,-2,End of Game
