Unnamed: 0,TEN,IND
First Downs,24,18
Rush-Yds-TDs,36-162-1,25-104-1
Cmp-Att-Yd-TD-INT,21-37-201-1-3,17-32-200-0-1
Sacked-Yards,1-16,5-40
Net Pass Yards,185,160
Total Yards,347,264
Fumbles-Lost,1-1,3-0
Turnovers,4,1
Penalties-Yards,6-74,7-50
Third Down Conv.,6-15,3-14
Fourth Down Conv.,1-1,1-1
Time of Possession,33:55,26:05
