Unnamed: 0,LAR,MIN
First Downs,22,19
Rush-Yds-TDs,33-159-1,22-66-1
Cmp-Att-Yd-TD-INT,21-37-197-1-3,27-38-315-1-1
Sacked-Yards,0-0,3-20
Net Pass Yards,197,295
Total Yards,356,361
Fumbles-Lost,1-0,3-0
Turnovers,3,1
Penalties-Yards,1-5,2-20
Third Down Conv.,7-14,2-12
Fourth Down Conv.,1-1,1-1
Time of Possession,30:00,30:00
