Quarter,Time,Tm,Detail,LAR,MIN
1.0,7:13,Rams,Sony Michel 1 yard rush (Matt Gay kick),7,0
2.0,6:37,Rams,Matt Gay 32 yard field goal,10,0
,2:34,Vikings,Greg Joseph 23 yard field goal,10,3
,0:11,Rams,Matt Gay 31 yard field goal,13,3
3.0,11:01,Vikings,Alexander Mattison 2 yard rush (Greg Joseph kick),13,10
,7:06,Rams,Brandon Powell 61 yard punt return (Matt Gay kick),20,10
,1:31,Vikings,Greg Joseph 24 yard field goal,20,13
4.0,11:33,Rams,Odell Beckham Jr. 7 yard pass from Matthew Stafford (Matt Gay kick),27,13
,8:21,Vikings,K.J. Osborn 6 yard pass from Kirk Cousins (Greg Joseph kick),27,20
,2:03,Rams,Matt Gay 24 yard field goal,30,20
,0:32,Vikings,Greg Joseph 44 yard field goal,30,23
