Quarter,Time,Tm,Detail,SDG,DEN
1.0,6:26,Chargers,Philip Rivers 2 yard rush (Nate Kaeding kick),7,0
,6:15,Chargers,Brandon Siler 23 yard fumble return (Nate Kaeding kick),14,0
2.0,11:23,Chargers,Nate Kaeding 26 yard field goal,17,0
,1:15,Broncos,Jason Elam 30 yard field goal,17,3
,0:00,Chargers,Nate Kaeding 45 yard field goal,20,3
3.0,9:20,Chargers,Antonio Gates 9 yard pass from Philip Rivers (Nate Kaeding kick),27,3
,0:07,Chargers,Vincent Jackson 15 yard pass from Philip Rivers (Nate Kaeding kick),34,3
4.0,9:42,Chargers,Michael Turner 74 yard rush (Nate Kaeding kick),41,3
