Unnamed: 0,SDG,DEN
First Downs,20,17
Rush-Yds-TDs,37-214-2,20-72-0
Cmp-Att-Yd-TD-INT,13-18-270-2-0,23-36-232-0-1
Sacked-Yards,0-0,1-8
Net Pass Yards,270,224
Total Yards,484,296
Fumbles-Lost,0-0,3-2
Turnovers,0,3
Penalties-Yards,6-45,3-18
Third Down Conv.,6-10,6-13
Fourth Down Conv.,0-0,0-3
Time of Possession,32:53,27:07
